ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax,ParasiteCorrectedName.updated,close,nonclose,vector,intermediate,ParasiteReportedName,HasBinomialName,NameObservations,FLAG,NameID,NameCitation,ParType,ParPhylum,ParClass,ParOrder,ParFamily,StrainorSubsps
Babesia bigemina,NA,0,,0,1,-1,1,,VR,42741,,,,,Babesia bigemina      ,8100,Babesia bigemina      ,797,through tick saliva ,Brown and Palmer 1999,,VR,42741,,,,0,0,1,No,,,,Babesia bigemina,0,0,1,0,Babesia bigemina,yes,valid name in NCBI,,NCBI 5866,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia bovis,NA,0,,0,1,-1,1,,VR,42741,,,,,Babesia bovis      ,13600,Babesia bovis      ,1253,rare (primarily bovine),Brown and Palmer 1999,,VR,42741,,,,0,0,1,No,,,,Babesia bovis,0,0,1,0,Babesia bovis,yes,valid name in NCBI,,NCBI 5865,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia cellii,NA,0,,,,-1,3,,VR,42741,,,,,Babesia cellii      ,249,Babesia cellii      ,0,,NEED,,VR,42741,,,,0,0,1,No,Can't find it in GMPD files. ,,,Babesia cellii,0,0,1,0,Babesia cellii,yes,occurs only in a few primate papers,,Baker 1972,"Baker, J. R. (1972). Protozoa of tissues and blood (other than the Haemosporina). In Pathology of Simian Primates (pp. 29-56). Karger Publishers.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia cynicti,NA,0,,,,-1,3,,VR,42741,,,,,Babesia cynicti      ,18,Babesia cynicti      ,1,,Penzhom and Chaparro 1994,,,42741,,,,0,0,1,No,Can't find it in GMPD files. ,,,Babesia cynicti,0,0,1,0,Babesia cynicti,yes,valid in papers,,Penzhom and Chaparro 1994,"Penzhom, B. L., & Chaparro, F. (1994). Prevalence of Babesia cynicti infection in three populations of yellow mongooses (Cynictis penicillata) in the Transvaal, South Africa. Journal of wildlife diseases, 30(4), 557-559.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia equi,NA,0,,0,1,-1,1,,VR,42741,,,,,Babesia equi      ,6330,Babesia equi      ,456,Tick/1975 NY,"Bashiruddin et al., 1999",,VR,42741,,,,0,0,1,No,,,,Babesia equi,0,0,1,0,Babesia equi,yes,"valid name in NCBI, although Mehlhorn and Schein 1998 redescribed Babesia equi as Theileria equi",,NCBI 5872,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia lotori,NA,0,,0,2,-1,3,,VR,42740,,,,,Babesia lotori      ,69,Babesia lotori      ,3,Raccoon  ,"Birkenhauer et al., 2006",,VR,42740,,,,0,0,1,No,,,,Babesia lotori,0,0,1,0,Babesia lotori,yes,valid in papers,,Birkenheuer et al. 2008,"Birkenheuer, A. J., Marr, H. S., Hladio, N., & Acton, A. E. (2008). Molecular evidence of prevalent dual piroplasma infections in North American raccoons (Procyon lotor). Parasitology, 135(01), 33-37.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia microti,NA,0,,0,1,0,1,,VR,42740,,,,,Babesia microti      ,9680,Babesia microti      ,189,rare,"Persing et al., 1992",,VR,42740,,,,0,0,1,No,,,,Babesia microti,0,0,1,0,Babesia microti,yes,valid name in NCBI,,NCBI 5868,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia missirolii,NA,0,,,,-1,3,,VR,42740,,,,,Babesia missirolii      ,17,Babesia missirolii      ,1,,"Birkenhauer et al., 2007",,VR,42740,,,,0,0,1,No,,,,Babesia missirolii,0,0,1,0,Babesia missirolii,yes,valid in papers,,Birkenheuer et al. 2008,"Birkenheuer, A. J., Harms, C. A., Neel, J., Marr, H. S., Tucker, M. D., Acton, A. E., ... & Stoskopf, M. K. (2007). The identification of a genetically unique piroplasma in North American river otters (Lontra canadensis). Parasitology,134(05), 631-635.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia odocoilei,NA,0,,-1,1,-1,2,,VR,42741,,,,,Babesia odocoilei      ,491,Babesia odocoilei      ,59,White tailed deer ,"Holman et al., 2000",,VR,42741,,,,0,0,1,No,,,,Babesia odocoilei,0,0,1,0,Babesia odocoilei,yes,valid name in NCBI,,NCBI 36766,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia ovis,NA,0,,-1,2,-1,1,,VR,42741,,,,,Babesia ovis      ,4130,Babesia ovis      ,216,,"Aktas et al., 2005",,VR,42741,,,,0,0,1,No,,,Babesia divergens,Babesia ovis,0,0,1,0,Babesia ovis,yes,valid name in NCBI,,NCBI 5869,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
