Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
nucleotide sequences	Species-Location Interactions	nucleotide sequences_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
literature sources	Species-Location Interactions	literature sources_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
saudi arabia	Species-Location Interactions	saudi arabia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
iran	Species-Location Interactions	iran_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
cyprus	Species-Location Interactions	cyprus_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
tanzania	Species-Location Interactions	tanzania_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
armenia	Species-Location Interactions	armenia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
kenya	Species-Location Interactions	kenya_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
uganda	Species-Location Interactions	uganda_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
rwanda	Species-Location Interactions	rwanda_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
somalia	Species-Location Interactions	somalia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
syria	Species-Location Interactions	syria_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
democratic republic of the congo	Species-Location Interactions	democratic republic of the congo_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
central african republic	Species-Location Interactions	central african republic_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
seychelles	Species-Location Interactions	seychelles_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
israel	Species-Location Interactions	israel_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
turkey	Species-Location Interactions	turkey_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
ethiopia	Species-Location Interactions	ethiopia_SLI	LocationInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381854	http://dx.doi.org/10.6084/m9.figshare.1381854
