Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
nucleotide sequences	Species-Species Interactions	nucleotide sequences_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
literature sources	Species-Species Interactions	literature sources_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Amphibia	Species-Species Interactions	Amphibia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Annelida	Species-Species Interactions	Annelida_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Arthropoda	Species-Species Interactions	Arthropoda_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Aves	Species-Species Interactions	Aves_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bacillariophyta	Species-Species Interactions	Bacillariophyta_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bacteria	Species-Species Interactions	Bacteria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Bryozoa	Species-Species Interactions	Bryozoa_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chlorophyta	Species-Species Interactions	Chlorophyta_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chrysophyceae	Species-Species Interactions	Chrysophyceae_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Cnidaria	Species-Species Interactions	Cnidaria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Embryophyta	Species-Species Interactions	Embryophyta_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Fungi	Species-Species Interactions	Fungi_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Homo sapiens	Species-Species Interactions	Homo sapiens_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mammalia	Species-Species Interactions	Mammalia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Methanothermobacter	Species-Species Interactions	Methanothermobacter_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mollusca	Species-Species Interactions	Mollusca_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Phaeophyceae	Species-Species Interactions	Phaeophyceae_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Porifera	Species-Species Interactions	Porifera_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Primates	Species-Species Interactions	Primates_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Rodentia	Species-Species Interactions	Rodentia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Viroids	Species-Species Interactions	Viroids_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Viruses	Species-Species Interactions	Viruses_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chondrichthyes	Species-Species Interactions	Chondrichthyes_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Dipnoi	Species-Species Interactions	Dipnoi_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Actinopterygii 	Species-Species Interactions	Actinopterygii _SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Hyperotreti	Species-Species Interactions	Hyperotreti_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Hyperoartia	Species-Species Interactions	Hyperoartia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Coelacanthimorpha	Species-Species Interactions	Coelacanthimorpha_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Parabasalia	Species-Species Interactions	Parabasalia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Heterolobosea	Species-Species Interactions	Heterolobosea_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Platyhelminthes	Species-Species Interactions	Platyhelminthes_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Nematode	Species-Species Interactions	Nematode_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Acanthocephala	Species-Species Interactions	Acanthocephala_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Testudines	Species-Species Interactions	Testudines_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Archosauria	Species-Species Interactions	Archosauria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Lepidosauria	Species-Species Interactions	Lepidosauria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Alveolata	Species-Species Interactions	Alveolata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Euglenozoa	Species-Species Interactions	Euglenozoa_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Fornicate	Species-Species Interactions	Fornicate_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Katablepharidophyta	Species-Species Interactions	Katablepharidophyta_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Rhizaria	Species-Species Interactions	Rhizaria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Apusozoa	Species-Species Interactions	Apusozoa_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Amoebozoa	Species-Species Interactions	Amoebozoa_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Jakobida	Species-Species Interactions	Jakobida_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Oomycetes	Species-Species Interactions	Oomycetes_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Felis catus	Species-Species Interactions	Felis catus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Equus caballus	Species-Species Interactions	Equus caballus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Lama glama	Species-Species Interactions	Lama glama_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
