Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
NCBI Nucleotide Sequences database							Data Repositories	nucleotide sequences
PubMed database							Data Repositories	literature sources
NCBI Taxonomy database	Amphibia	NCBITAXON	8292				Data Repositories	Amphibia
NCBI Taxonomy database	Annelida	NCBITAXON	6340				Data Repositories	Annelida
NCBI Taxonomy database	Arthropoda	NCBITAXON	6656				Data Repositories	Arthropoda
NCBI Taxonomy database	Aves	NCBITAXON	8782				Data Repositories	Aves
NCBI Taxonomy database	Bacillariophyta	NCBITAXON	2836				Data Repositories	Bacillariophyta
NCBI Taxonomy database	Bacteria	NCBITAXON	2				Data Repositories	Bacteria
NCBI Taxonomy database	Bryozoa	NCBITAXON	10205				Data Repositories	Bryozoa
NCBI Taxonomy database	Chlorophyta	NCBITAXON	3041				Data Repositories	Chlorophyta
NCBI Taxonomy database	Chrysophyceae	NCBITAXON	2825				Data Repositories	Chrysophyceae
NCBI Taxonomy database	Cnidaria	NCBITAXON	6073				Data Repositories	Cnidaria
NCBI Taxonomy database	Embryophyta	NCBITAXON	3193				Data Repositories	Embryophyta
NCBI Taxonomy database	Fungi	NCBITAXON	4751				Data Repositories	Fungi
NCBI Taxonomy database	Homo sapiens	NCBITAXON	9606				Data Repositories	Homo sapiens
NCBI Taxonomy database	Mammalia	NCBITAXON	40674				Data Repositories	Mammalia
NCBI Taxonomy database	Methanothermobacter	NCBITAXON	145260				Data Repositories	Methanothermobacter
NCBI Taxonomy database	Mollusca	NCBITAXON	6447				Data Repositories	Mollusca
NCBI Taxonomy database	Phaeophyceae	NCBITAXON	2870				Data Repositories	Phaeophyceae
NCBI Taxonomy database	Porifera	NCBITAXON	6040				Data Repositories	Porifera
NCBI Taxonomy database	Primates	NCBITAXON	9443				Data Repositories	Primates
NCBI Taxonomy database	Rodentia	NCBITAXON	9989				Data Repositories	Rodentia
NCBI Taxonomy database	Viroids	NCBITAXON	12884				Data Repositories	Viroids
NCBI Taxonomy database	Viruses	NCBITAXON	10239				Data Repositories	Viruses
NCBI Taxonomy database	Chondrichthyes	NCBITAXON	7777				Data Repositories	Chondrichthyes
NCBI Taxonomy database	Dipnoi	NCBITAXON	7878				Data Repositories	Dipnoi
NCBI Taxonomy database	Actinopterygii 	NCBITAXON	7898				Data Repositories	Actinopterygii 
NCBI Taxonomy database	Hyperotreti	NCBITAXON	117565				Data Repositories	Hyperotreti
NCBI Taxonomy database	Hyperoartia	NCBITAXON	117569				Data Repositories	Hyperoartia
NCBI Taxonomy database	Coelacanthimorpha	NCBITAXON	118072				Data Repositories	Coelacanthimorpha
NCBI Taxonomy database	Parabasalia	NCBITAXON	5719				Data Repositories	Parabasalia
NCBI Taxonomy database	Heterolobosea	NCBITAXON	5752				Data Repositories	Heterolobosea
NCBI Taxonomy database	Platyhelminthes	NCBITAXON	6157				Data Repositories	Platyhelminthes
NCBI Taxonomy database	Nematode	NCBITAXON	6231				Data Repositories	Nematode
NCBI Taxonomy database	Acanthocephala	NCBITAXON	10232				Data Repositories	Acanthocephala
NCBI Taxonomy database	Testudines	NCBITAXON	8459				Data Repositories	Testudines
NCBI Taxonomy database	Archosauria	NCBITAXON	8492				Data Repositories	Archosauria
NCBI Taxonomy database	Lepidosauria	NCBITAXON	8504				Data Repositories	Lepidosauria
NCBI Taxonomy database	Alveolata	NCBITAXON	33630				Data Repositories	Alveolata
NCBI Taxonomy database	Euglenozoa	NCBITAXON	33682				Data Repositories	Euglenozoa
NCBI Taxonomy database	Fornicate	NCBITAXON	207245				Data Repositories	Fornicate
NCBI Taxonomy database	Katablepharidophyta	NCBITAXON	339960				Data Repositories	Katablepharidophyta
NCBI Taxonomy database	Rhizaria	NCBITAXON	543769				Data Repositories	Rhizaria
NCBI Taxonomy database	Apusozoa	NCBITAXON	554296				Data Repositories	Apusozoa
NCBI Taxonomy database	Amoebozoa	NCBITAXON	554915				Data Repositories	Amoebozoa
NCBI Taxonomy database	Jakobida	NCBITAXON	556282				Data Repositories	Jakobida
NCBI Taxonomy database	Oomycetes	NCBITAXON	4762				Data Repositories	Oomycetes
NCBI Taxonomy database	Felis catus	NCBITAXON	9685				Data Repositories	Felis catus
NCBI Taxonomy database	Equus caballus	NCBITAXON	9796				Data Repositories	Equus caballus
NCBI Taxonomy database	Lama glama	NCBITAXON	9844				Data Repositories	Lama glama
NCBI Taxonomy database	Equus asinus	NCBITAXON	9793				Data Repositories	Equus asinus
NCBI Taxonomy database	Cricetus cricetus	NCBITAXON	10034				Data Repositories	Cricetus cricetus
NCBI Taxonomy database	Cervus elaphus	NCBITAXON	9860				Data Repositories	Cervus elaphus
NCBI Taxonomy database	Cavia porcellus	NCBITAXON	10141				Data Repositories	Cavia porcellus
NCBI Taxonomy database	Capreolus capreolus	NCBITAXON	9858				Data Repositories	Capreolus capreolus
NCBI Taxonomy database	Canis lupus familiaris	NCBITAXON	9615				Data Repositories	Canis lupus familiaris
NCBI Taxonomy database	Camelus dromedarius	NCBITAXON	9838				Data Repositories	Camelus dromedarius
NCBI Taxonomy database	Camelus bactrianus	NCBITAXON	9837				Data Repositories	Camelus bactrianus
NCBI Taxonomy database	Bos taurus	NCBITAXON	9913				Data Repositories	Bos taurus
NCBI Taxonomy database	Bos indicus	NCBITAXON	9915				Data Repositories	Bos indicus
NCBI Taxonomy database	Bison bonasus	NCBITAXON	9902				Data Repositories	Bison bonasus
NCBI Taxonomy database	Bison bison	NCBITAXON	9901				Data Repositories	Bison bison
NCBI Taxonomy database	Lama pacos	NCBITAXON	30538				Data Repositories	Lama pacos
NCBI Taxonomy database	Meleagris gallopavo	NCBITAXON	9103				Data Repositories	Meleagris gallopavo
NCBI Taxonomy database	Sus scrofa domesticus	NCBITAXON	9825				Data Repositories	Sus scrofa domesticus
NCBI Taxonomy database	Meriones unguiculatus	NCBITAXON	10047				Data Repositories	Meriones unguiculatus
NCBI Taxonomy database	Mesocricetus auratus	NCBITAXON	10036				Data Repositories	Mesocricetus auratus
NCBI Taxonomy database	Mus musculus	NCBITAXON	10090				Data Repositories	Mus musculus
NCBI Taxonomy database	Mus musculus domesticus	NCBITAXON	10092				Data Repositories	Mus musculus domesticus
NCBI Taxonomy database	Mustela putorius furo	NCBITAXON	9669				Data Repositories	Mustela putorius furo
NCBI Taxonomy database	Numida meleagris	NCBITAXON	8996				Data Repositories	Numida meleagris
NCBI Taxonomy database	Capra hircus	NCBITAXON	9925				Data Repositories	Capra hircus
NCBI Taxonomy database	Oryctolagus cuniculus	NCBITAXON	9986				Data Repositories	Oryctolagus cuniculus
NCBI Taxonomy database	Ovis aries	NCBITAXON	9940				Data Repositories	Ovis aries
NCBI Taxonomy database	Pavo cristatus	NCBITAXON	9049				Data Repositories	Pavo cristatus
NCBI Taxonomy database	Bubalus bubalis	NCBITAXON	89462				Data Repositories	Bubalus bubalis
NCBI Taxonomy database	Phasianus colchicus	NCBITAXON	9054				Data Repositories	Phasianus colchicus
NCBI Taxonomy database	Rangifer tarandus	NCBITAXON	9870				Data Repositories	Rangifer tarandus
NCBI Taxonomy database	Anser anser	NCBITAXON	8843				Data Repositories	Anser anser
NCBI Taxonomy database	Anas platyrhynchos	NCBITAXON	8839				Data Repositories	Anas platyrhynchos
NCBI Taxonomy database	Serinus canaria	NCBITAXON	9135				Data Repositories	Serinus canaria
NCBI Taxonomy database	Struthio camelus	NCBITAXON	8801				Data Repositories	Struthio camelus
NCBI Taxonomy database	Rattus norvegicus	NCBITAXON	10116				Data Repositories	Rattus norvegicus
NCBI Taxonomy database	Rattus rattus	NCBITAXON	10117				Data Repositories	Rattus rattus
NCBI Taxonomy database	Sus scrofa	NCBITAXON	9823				Data Repositories	Sus scrofa
NCBI Taxonomy database	Lagopus lagopus scotica	NCBITAXON	359986				Data Repositories	Lagopus lagopus scotica
NCBI Taxonomy database	Rhombomys opimus	NCBITAXON	186474				Data Repositories	Rhombomys opimus
NCBI Taxonomy database	Gallus gallus	NCBITAXON	9031				Data Repositories	Gallus gallus
NCBI Taxonomy database	Chinchilla lanigera	NCBITAXON	34839				Data Repositories	Chinchilla lanigera
NCBI Taxonomy database	Columba livia	NCBITAXON	8932				Data Repositories	Columba livia
NCBI Taxonomy database	Dama dama	NCBITAXON	30532				Data Repositories	Dama dama
NCBI Taxonomy database	Agapornis personata	NCBITAXON	60466				Data Repositories	Agapornis personata
NCBI Taxonomy database	Agapornis roseicollis	NCBITAXON	60468				Data Repositories	Agapornis roseicollis
NCBI Taxonomy database	Nymphicus hollandicus	NCBITAXON	13180				Data Repositories	Nymphicus hollandicus
NCBI Taxonomy database	Melopsittacus undulatus	NCBITAXON	13146				Data Repositories	Melopsittacus undulatus
NCBI Taxonomy database	Equus asinus africanus	NCBITAXON	582580				Data Repositories	Equus asinus africanus
NCBI Taxonomy database	Chlorophyta	NCBITAXON	3041				Data Repositories	Chlorophyta
NCBI Taxonomy database	Embryophyta	NCBITAXON	3193				Data Repositories	Embryophyta
NCBI Taxonomy database	Oomycetes	NCBITAXON	4762				Data Repositories	Oomycetes
NCBI Taxonomy database	Paramyxea	NCBITAXON	98369				Data Repositories	Paramyxea
NCBI Taxonomy database	Kappaphycus alvarezii	NCBITAXON	38544				Data Repositories	Kappaphycus alvarezii
NCBI Taxonomy database	Petalonia fascia	NCBITAXON	2893				Data Repositories	Petalonia fascia
