"","ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final","XC_ZooScore","protname","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"1","Babesia bicornis","y","Babesia bicornis","Babesia bicornia","Babesia bicornis","yes","valid name in NCBI","","NCBI 176664","","Protozoa","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",""
"2","Babesia divergens","y","Babesia divergens","Babesia divergens","Babesia divergens","yes","valid name in NCBI","","NCBI 32595","","Protozoa","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",""
"3","Blepharocorys jubata","y","Blepharocorys jubata","Blepharocorys jubata","Blepharocorys jubata","yes","valid name in NCBI","","NCBI 550463","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae",""
"4","Charonina hippopotami","y","Charonina hippopotami","Charonina hippopotami","Charonina hippopotami","yes","valid in papers","","Gilchrist et al. 1994","Gilchrist, F. M. C., Van Hoven, W., & Stenson, M. O. (1994). Five new species of Trichostomatida (ciliated protozoa) from the colon of wild African rhinoceroses. Systematic parasitology, 28(3), 187-196.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Blepharocorythidae",""
"5","Cycloposthium bipalmatum","y","Cycloposthium bipalmatum","Cycloposthium bipalmatum","Cycloposthium bipalmatum","yes","valid name in NCBI","","NCBI 686996","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",""
"6","Cycloposthium corrugatum","y","Cycloposthium corrugatum","Cycloposthium corrugutum","Cycloposthium corrugatum","yes","occurs only in one paper","","GÃ¼relli and GÃ¶Ã§men 2012","GÃ¼relli, G., & GÃ¶Ã§men, B. (2012). Intestinal ciliate composition found in the feces of racing horses from Izmir, Turkey. European journal of protistology,48(3), 215-226.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",""
"7","Cycloposthium dentiferum","y","Cycloposthium dentiferum","Cycloposthium dentiferum","Cycloposthium dentiferum","yes","occurs only in one paper","","GÃ¼relli and GÃ¶Ã§men 2012","GÃ¼relli, G., & GÃ¶Ã§men, B. (2012). Intestinal ciliate composition found in the feces of racing horses from Izmir, Turkey. European journal of protistology,48(3), 215-226.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",""
"8","Cycloposthium edentatum","y","Cycloposthium edentatum","Cycloposthium edentatum","Cycloposthium edentatum","yes","valid name in NCBI","","NCBI 467016","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",""
"9","Cycloposthium scutigerum","y","Cycloposthium scutigerum","Cylicocyclus gylocephaloides","Cycloposthium scutigerum","yes","occurs only in one paper","","GÃ¼relli and GÃ¶Ã§men 2012","GÃ¼relli, G., & GÃ¶Ã§men, B. (2012). Intestinal ciliate composition found in the feces of racing horses from Izmir, Turkey. European journal of protistology,48(3), 215-226.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",""
"10","Cycloposthium scutigerum","y","Cycloposthium scutigerum","Cycloposthium scutigerum","Cycloposthium scutigerum","yes","occurs only in one paper","","GÃ¼relli and GÃ¶Ã§men 2012","GÃ¼relli, G., & GÃ¶Ã§men, B. (2012). Intestinal ciliate composition found in the feces of racing horses from Izmir, Turkey. European journal of protistology,48(3), 215-226.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Cycloposthiidae",""
