"","hostname"
"1","Hippotragus niger"
"2","Odocoileus virginianus"
"3","Macaca sinica"
"4","Cynictis penicillata"
"5","Equus zebra"
"6","Papio cynocephalus"
"7","Procyon lotor"
"8","Meles meles"
"9","Capra pyrenaica"
"10","Cervus elaphus"
"11","Rupicapra rupicapra"
"12","Cercopithecus ascanius"
"13","Cercopithecus mitis"
"14","Chlorocebus aethiops"
"15","Lophocebus aterrimus"
"16","Propithecus coquereli"
"17","Lycaon pictus"
"18","Alouatta caraya"
"19","Ateles paniscus"
"20","Cercocebus galeritus"
"21","Equus grevyi"
"22","Eulemur rufus"
"23","Gorilla gorilla"
"24","Hylobates lar"
"25","Mandrillus sphinx"
"26","Martes foina"
"27","Pan troglodytes"
"28","Papio anubis"
"29","Papio hamadryas"
"30","Papio papio"
"31","Papio ursinus"
"32","Pongo abelii"
"33","Pongo pygmaeus"
"34","Rangifer tarandus"
"35","Alouatta seniculus"
"36","Ateles chamek"
"37","Cebus apella"
"38","Saimiri sciureus"
"39","Callicebus brunneus"
"40","Cebus albifrons"
"41","Colobus guereza"
"42","Gorilla beringei"
"43","Lophocebus albigena"
"44","Piliocolobus rufomitratus"
"45","Alces alces"
"46","Bison bonasus"
"47","Canis lupus"
"48","Capreolus capreolus"
"49","Dama dama"
"50","Mephitis mephitis"
"51","Muntiacus reevesi"
"52","Nyctereutes procyonoides"
"53","Sus scrofa"
"54","Trachypithecus vetulus"
"55","Ursus americanus"
"56","Vulpes vulpes"
"57","Zalophus californianus"
"58","Canis latrans"
"59","Felis silvestris"
"60","Genetta genetta"
"61","Lynx pardinus"
"62","Lynx rufus"
"63","Panthera leo"
"64","Puma concolor"
"65","Felis manul"
"66","Bison bison"
"67","Mustela nigripes"
"68","Lama glama"
"69","Spilogale putorius"
"70","Procyon pygmaeus"
"71","Nycticebus coucang"
"72","Herpestes ichneumon"
"73","Cercopithecus albogularis"
"74","Alouatta pigra"
"75","Chlorocebus pygerythrus"
"76","Chlorocebus sabaeus"
"77","Colobus angolensis"
"78","Colobus vellerosus"
"79","Erythrocebus patas"
"80","Macaca fuscata"
"81","Piliocolobus tephrosceles"
"82","Trachypithecus cristatus"
"83","Brachyteles arachnoides"
"84","Macaca fascicularis"
"85","Cebus capucinus"
"86","Erignathus barbatus"
"87","Pusa hispida"
"88","Saimiri oerstedii"
"89","Cercopithecus neglectus"
"90","Cercopithecus nictitans"
"91","Cercopithecus petaurista"
"92","Cercocebus agilis"
"93","Cercocebus torquatus"
"94","Cercopithecus cephus"
"95","Cercopithecus diana"
"96","Cercopithecus kandti"
"97","Cercopithecus lhoesti"
"98","Piliocolobus badius"
"99","Macaca nemestrina"
"100","Macaca radiata"
"101","Semnopithecus entellus"
"102","Macaca cyclopis"
"103","Martes martes"
"104","Cerdocyon thous"
"105","Panthera onca"
"106","Procyon cancrivorus"
"107","Martes melampus"
"108","Nasua nasua"
"109","Aotus vociferans"
"110","Saguinus fuscicollis"
"111","Saguinus geoffroyi"
"112","Callimico goeldii"
"113","Lutra lutra"
"114","Canis aureus"
"115","Chiropotes satanas"
"116","Acinonyx jubatus"
"117","Ammotragus lervia"
"118","Crocuta crocuta"
"119","Enhydra lutris"
"120","Lycalopex gymnocercus"
"121","Monachus schauinslandi"
"122","Mustela putorius"
"123","Odobenus rosmarus"
"124","Odocoileus hemionus"
"125","Ovis aries"
"126","Ozotoceros bezoarticus"
"127","Phoca largha"
"128","Phoca vitulina"
"129","Urocyon cinereoargenteus"
"130","Alouatta belzebul"
"131","Alouatta guariba"
"132","Alouatta palliata"
"133","Ateles fusciceps"
"134","Ateles geoffroyi"
"135","Cacajao calvus"
"136","Callicebus moloch"
"137","Callicebus ornatus"
"138","Callicebus torquatus"
"139","Chiropotes albinasus"
"140","Chiropotes chiropotes"
"141","Lagothrix lagotricha"
"142","Pithecia irrorata"
"143","Pithecia pithecia"
"144","Saguinus midas"
"145","Saimiri boliviensis"
"146","Saimiri ustus"
"147","Macaca mulatta"
"148","Cercocebus atys"
"149","Mandrillus leucophaeus"
"150","Hylobates moloch"
"151","Macaca assamensis"
"152","Macaca nigra"
"153","Presbytis melalophos"
"154","Trachypithecus obscurus"
"155","Ursus arctos"
"156","Capra ibex"
"157","Axis axis"
"158","Cuon alpinus"
"159","Giraffa camelopardalis"
"160","Procapra gutturosa"
"161","Phacochoerus aethiopicus"
"162","Callithrix jacchus"
"163","Antidorcas marsupialis"
"164","Tragelaphus strepsiceros"
"165","Aepyceros melampus"
"166","Martes pennanti"
"167","Diceros bicornis"
"168","Syncerus caffer"
"169","Cervus nippon"
"170","Antilocapra americana"
"171","Bassariscus astutus"
"172","Blastocerus dichotomus"
"173","Capricornis crispus"
"174","Ceratotherium simum"
"175","Chrysocyon brachyurus"
"176","Connochaetes taurinus"
"177","Cystophora cristata"
"178","Eulemur macaco"
"179","Halichoerus grypus"
"180","Leopardus geoffroyi"
"181","Leopardus pardalis"
"182","Lontra canadensis"
"183","Lynx canadensis"
"184","Lynx lynx"
"185","Mirounga angustirostris"
"186","Neovison vison"
"187","Ovibos moschatus"
"188","Ovis ammon"
"189","Ovis canadensis"
"190","Panthera pardus"
"191","Rupicapra pyrenaica"
"192","Spilogale gracilis"
"193","Taurotragus oryx"
"194","Taxidea taxus"
"195","Tragelaphus angasii"
"196","Tragelaphus scriptus"
"197","Urocyon littoralis"
"198","Ursus maritimus"
"199","Vulpes lagopus"
"200","Alcelaphus buselaphus"
"201","Arctocebus calabarensis"
"202","Cephalophus dorsalis"
"203","Hippotragus equinus"
"204","Kobus ellipsiprymnus"
"205","Kobus kob"
"206","Miopithecus talapoin"
"207","Ourebia ourebi"
"208","Perodicticus potto"
"209","Philantomba monticola"
"210","Tragelaphus spekii"
"211","Cephalophus silvicultor"
"212","Redunca redunca"
"213","Aotus azarae"
"214","Ateles belzebuth"
"215","Callicebus nigrifrons"
"216","Callithrix argentata"
"217","Callithrix emiliae"
"218","Callithrix penicillata"
"219","Callithrix pygmaea"
"220","Conepatus chinga"
"221","Galictis cuja"
"222","Leontopithecus chrysomelas"
"223","Leontopithecus chrysopygus"
"224","Leontopithecus rosalia"
"225","Pecari tajacu"
"226","Saguinus bicolor"
"227","Saguinus labiatus"
"228","Saguinus leucopus"
"229","Saguinus nigricollis"
"230","Tayassu pecari"
"231","Saguinus niger"
"232","Axis porcinus"
"233","Rusa unicolor"
"234","Galago demidoff"
"235","Aotus trivirgatus"
"236","Callicebus cupreus"
"237","Saguinus oedipus"
"238","Otolemur crassicaudatus"
"239","Camelus dromedarius"
"240","Cercopithecus mona"
"241","Hippopotamus amphibius"
"242","Equus burchellii"
"243","Equus caballus"
"244","Capricornis swinhoei"
"245","Semnopithecus priam"
