"","hostname","protname","pairname"
"1","Hippotragus niger","Babesia bigemina","Babesia bigemina ,  Hippotragus niger"
"2","Odocoileus virginianus","Babesia bigemina","Babesia bigemina ,  Odocoileus virginianus"
"3","Odocoileus virginianus","Babesia bovis","Babesia bovis ,  Odocoileus virginianus"
"4","Macaca sinica","Babesia cellii","Babesia cellii ,  Macaca sinica"
"5","Cynictis penicillata","Babesia cynicti","Babesia cynicti ,  Cynictis penicillata"
"6","Equus zebra","Babesia equi","Babesia equi ,  Equus zebra"
"7","Papio cynocephalus","Babesia equi","Babesia equi ,  Papio cynocephalus"
"8","Procyon lotor","Babesia lotori","Babesia lotori ,  Procyon lotor"
"9","Papio cynocephalus","Babesia microti","Babesia microti ,  Papio cynocephalus"
"10","Meles meles","Babesia missirolii","Babesia missirolii ,  Meles meles"
"11","Odocoileus virginianus","Babesia odocoilei","Babesia odocoilei ,  Odocoileus virginianus"
"12","Capra pyrenaica","Babesia ovis","Babesia ovis ,  Capra pyrenaica"
"13","Cervus elaphus","Babesia ovis","Babesia ovis ,  Cervus elaphus"
"14","Rupicapra rupicapra","Babesia ovis","Babesia ovis ,  Rupicapra rupicapra"
"15","Cercopithecus ascanius","Babesia pitheci","Babesia pitheci ,  Cercopithecus ascanius"
"16","Cercopithecus mitis","Babesia pitheci","Babesia pitheci ,  Cercopithecus mitis"
"17","Chlorocebus aethiops","Babesia pitheci","Babesia pitheci ,  Chlorocebus aethiops"
"18","Lophocebus aterrimus","Babesia pitheci","Babesia pitheci ,  Lophocebus aterrimus"
"19","Propithecus coquereli","Babesia propitheci","Babesia propitheci ,  Propithecus coquereli"
"20","Lycaon pictus","Babesia rossi","Babesia rossi ,  Lycaon pictus"
"21","Alouatta caraya","Balantidium aragaoi","Balantidium aragaoi ,  Alouatta caraya"
"22","Ateles paniscus","Balantidium coli","Balantidium coli ,  Ateles paniscus"
"23","Cercocebus galeritus","Balantidium coli","Balantidium coli ,  Cercocebus galeritus"
"24","Cercopithecus mitis","Balantidium coli","Balantidium coli ,  Cercopithecus mitis"
"25","Equus grevyi","Balantidium coli","Balantidium coli ,  Equus grevyi"
"26","Eulemur rufus","Balantidium coli","Balantidium coli ,  Eulemur rufus"
"27","Gorilla gorilla","Balantidium coli","Balantidium coli ,  Gorilla gorilla"
