"","gmpdhostname","gmpdparname","pairname"
"1","Acinonyx jubatus","Bacillus anthracis","Bacillus anthracis ,  Acinonyx jubatus"
"2","Acinonyx jubatus","Bartonella henselae","Bartonella henselae ,  Acinonyx jubatus"
"3","Acinonyx jubatus","Cryptococcus gattii","Cryptococcus gattii ,  Acinonyx jubatus"
"4","Acinonyx jubatus","Morbillivirus Canine distemper virus","Morbillivirus Canine distemper virus ,  Acinonyx jubatus"
"5","Acinonyx jubatus","Mycobacterium bovis","Mycobacterium bovis ,  Acinonyx jubatus"
"6","Acinonyx jubatus","Neospora caninum","Neospora caninum ,  Acinonyx jubatus"
"7","Acinonyx jubatus","Trichinella nelsoni","Trichinella nelsoni ,  Acinonyx jubatus"
"8","Addax nasomaculatus","Longistrongylus curvispiculum","Longistrongylus curvispiculum ,  Addax nasomaculatus"
"9","Aepyceros melampus","Agriostomum gorgonis","Agriostomum gorgonis ,  Aepyceros melampus"
"10","Aepyceros melampus","Anaplasma platys","Anaplasma platys ,  Aepyceros melampus"
"11","Aepyceros melampus","Bacillus anthracis","Bacillus anthracis ,  Aepyceros melampus"
"12","Aepyceros melampus","Brucella abortus","Brucella abortus ,  Aepyceros melampus"
"13","Aepyceros melampus","Cooperia connochaeti","Cooperia connochaeti ,  Aepyceros melampus"
"14","Aepyceros melampus","Cooperia fuelleborni","Cooperia fuelleborni ,  Aepyceros melampus"
"15","Aepyceros melampus","Cooperia hungi","Cooperia hungi ,  Aepyceros melampus"
"16","Aepyceros melampus","Cooperia neitzi","Cooperia neitzi ,  Aepyceros melampus"
"17","Aepyceros melampus","Cooperia rotundispiculum","Cooperia rotundispiculum ,  Aepyceros melampus"
"18","Aepyceros melampus","Cooperia verrucosa","Cooperia verrucosa ,  Aepyceros melampus"
"19","Aepyceros melampus","Cooperia yoshidai","Cooperia yoshidai ,  Aepyceros melampus"
"20","Aepyceros melampus","Cooperioides hamiltoni","Cooperioides hamiltoni ,  Aepyceros melampus"
"21","Aepyceros melampus","Cooperioides hepaticae","Cooperioides hepaticae ,  Aepyceros melampus"
"22","Aepyceros melampus","Dictyocaulus viviparus","Dictyocaulus viviparus ,  Aepyceros melampus"
"23","Aepyceros melampus","Ehrlichia ruminantium","Ehrlichia ruminantium ,  Aepyceros melampus"
"24","Aepyceros melampus","Escherichia coli","Escherichia coli ,  Aepyceros melampus"
"25","Aepyceros melampus","Fasciola gigantica","Fasciola gigantica ,  Aepyceros melampus"
"26","Aepyceros melampus","Fasciola hepatica","Fasciola hepatica ,  Aepyceros melampus"
"27","Aepyceros melampus","Gaigeria pachyscelis","Gaigeria pachyscelis ,  Aepyceros melampus"
"28","Aepyceros melampus","Haemonchus bedfordi","Haemonchus bedfordi ,  Aepyceros melampus"
"29","Aepyceros melampus","Haemonchus contortus","Haemonchus contortus ,  Aepyceros melampus"
