"","hosttype","hostname","hostorder","hostfamily","hostenv","location","lat","long","gmpdprotname","prev","numhosts","numsamples","ID","protname"
"1","carnivores","Acinonyx jubatus","Carnivora","Felidae","terrestrial","Maasai Mara Game Reserve, Serengueti, Kenya",-1.58,35.25,"Neospora caninum",0.6,NA,5,1,"Neospora caninum"
"2","ungulates","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Kruger National Park, South Africa",-23.82,31.45,"Sarcocystis melampi",NA,3,3,2,"Sarcocystis melampi"
"3","ungulates","Alcelaphus buselaphus","Artiodactyla","Bovidae","terrestrial","National Park of Pendjari, Benin",11.23,1.53,"Trypanosoma brucei",0.2,20,20,3,"Trypanosoma brucei"
"4","ungulates","Alcelaphus buselaphus","Artiodactyla","Bovidae","terrestrial","National Park of Pendjari, Benin",11.23,1.53,"Trypanosoma brucei",0.04,22,NA,4,"Trypanosoma brucei"
"5","ungulates","Alcelaphus buselaphus","Artiodactyla","Bovidae","terrestrial","National Park of Pendjari, Benin",11.23,1.53,"Trypanosoma vivax",0.1,20,20,5,"Trypanosoma vivax"
"6","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Russian forests",NA,NA,"Cryptosporidium parvum",NA,NA,NA,6,"Cryptosporidium parvum"
"7","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Aust-Agder, Norway",58.67,8.08,"Cryptosporidium parvum",0.053,38,38,7,"Cryptosporidium parvum"
"8","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Hedmark, Norway",61.45,11.41,"Cryptosporidium parvum",0.024,82,82,8,"Cryptosporidium parvum"
"9","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Nordland County, NORWAY",66.92,14.74,"Cryptosporidium parvum",0.02,50,50,9,"Cryptosporidium parvum"
"10","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Sor-Trondelag, Noway",63.12,10.39,"Cryptosporidium parvum",0.05,60,60,10,"Cryptosporidium parvum"
"11","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Telemark, Norway",59.52,8.53,"Cryptosporidium parvum",0.043,47,47,11,"Cryptosporidium parvum"
"12","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Vest-Agder, Norway",58.48,7.18,"Cryptosporidium parvum",0.027,35,35,12,"Cryptosporidium parvum"
"13","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Vestfold, Norway",59.32,10.13,"Cryptosporidium parvum",0.061,49,49,13,"Cryptosporidium parvum"
"14","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Aust-Agder, Norway",58.67,8.08,"Giardia intestinalis",0.079,38,38,14,"Giardia intestinalis"
"15","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Hedmark, Norway",61.45,11.41,"Giardia intestinalis",0.122,82,82,15,"Giardia intestinalis"
"16","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Nordland County, NORWAY",66.92,14.74,"Giardia intestinalis",0.1,50,50,16,"Giardia intestinalis"
"17","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Oppland, Norway",61.41,9.35,"Giardia intestinalis",0.259,48,48,17,"Giardia intestinalis"
"18","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Sor-Trondelag, Noway",63.12,10.39,"Giardia intestinalis",0.133,60,60,18,"Giardia intestinalis"
"19","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Telemark, Norway",59.52,8.53,"Giardia intestinalis",0.085,47,47,19,"Giardia intestinalis"
"20","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Vestfold, Norway",59.32,10.13,"Giardia intestinalis",0.204,49,49,20,"Giardia intestinalis"
"21","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Southeastern Norway",60.47,8.47,"Sarcocystis alces",NA,34,34,21,"Sarcocystis alces"
"22","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Canada",56.13,-106.35,"Sarcocystis alceslatrans",NA,2,2,22,"Sarcocystis alceslatrans"
"23","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Canada",56.13,-106.35,"Sarcocystis ovalis",NA,2,2,23,"Sarcocystis ovalis"
"24","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Southeastern Norway",60.47,8.47,"Sarcocystis ovalis",NA,34,34,24,"Sarcocystis ovalis"
"25","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Southeastern Norway",60.47,8.47,"Sarcocystis scandinavica",NA,34,34,25,"Sarcocystis scandinavica"
"26","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Suscetna River Area, Alaska",61.8,-150.37,"Toxoplasma gondii",0.23,110,110,26,"Toxoplasma gondii"
"27","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Nova Scotia: Cumberland, Colchester, Pictou, Guysborough, and Antigonish counties",45.58,-62.65,"Toxoplasma gondii",0.15,125,125,27,"Toxoplasma gondii"
"28","ungulates","Alces alces","Artiodactyla","Cervidae","terrestrial","Eastern Norway, coast",64.45,14.05,"Toxoplasma gondii",0.14,278,278,28,"Toxoplasma gondii"
