"","hostname"
"1","Acinonyx jubatus"
"2","Aepyceros melampus"
"3","Alcelaphus buselaphus"
"4","Alces alces"
"5","Alouatta belzebul"
"6","Alouatta caraya"
"7","Alouatta guariba"
"8","Alouatta palliata"
"9","Alouatta pigra"
"10","Alouatta seniculus"
"11","Ammotragus lervia"
"12","Antidorcas marsupialis"
"13","Antilocapra americana"
"14","Aotus azarae"
"15","Aotus trivirgatus"
"16","Aotus vociferans"
"17","Arctocebus calabarensis"
"18","Ateles belzebuth"
"19","Ateles chamek"
"20","Ateles fusciceps"
"21","Ateles geoffroyi"
"22","Ateles paniscus"
"23","Axis axis"
"24","Axis porcinus"
"25","Bassariscus astutus"
"26","Bison bison"
"27","Bison bonasus"
"28","Blastocerus dichotomus"
"29","Brachyteles arachnoides"
"30","Cacajao calvus"
"31","Callicebus brunneus"
"32","Callicebus cupreus"
"33","Callicebus moloch"
"34","Callicebus nigrifrons"
"35","Callicebus ornatus"
"36","Callicebus torquatus"
"37","Callimico goeldii"
"38","Callithrix argentata"
"39","Callithrix emiliae"
"40","Callithrix jacchus"
"41","Callithrix penicillata"
"42","Callithrix pygmaea"
"43","Camelus dromedarius"
"44","Canis aureus"
"45","Canis latrans"
"46","Canis lupus"
"47","Capra ibex"
"48","Capra pyrenaica"
"49","Capreolus capreolus"
"50","Capricornis crispus"
"51","Capricornis swinhoei"
"52","Cebus albifrons"
"53","Cebus apella"
"54","Cebus capucinus"
"55","Cephalophus dorsalis"
"56","Cephalophus silvicultor"
"57","Ceratotherium simum"
"58","Cercocebus agilis"
"59","Cercocebus atys"
"60","Cercocebus galeritus"
"61","Cercocebus torquatus"
"62","Cercopithecus albogularis"
"63","Cercopithecus ascanius"
"64","Cercopithecus campbelli"
"65","Cercopithecus cephus"
"66","Cercopithecus denti"
"67","Cercopithecus diana"
"68","Cercopithecus kandti"
"69","Cercopithecus lhoesti"
"70","Cercopithecus mitis"
"71","Cercopithecus mona"
"72","Cercopithecus neglectus"
"73","Cercopithecus nictitans"
"74","Cercopithecus petaurista"
"75","Cerdocyon thous"
"76","Cervus elaphus"
"77","Cervus nippon"
"78","Chiropotes albinasus"
"79","Chiropotes chiropotes"
"80","Chiropotes satanas"
"81","Chlorocebus aethiops"
"82","Chlorocebus pygerythrus"
"83","Chlorocebus sabaeus"
"84","Chrysocyon brachyurus"
"85","Colobus angolensis"
"86","Colobus guereza"
"87","Colobus vellerosus"
"88","Conepatus chinga"
"89","Connochaetes taurinus"
"90","Crocuta crocuta"
"91","Cuon alpinus"
"92","Cynictis penicillata"
"93","Cystophora cristata"
"94","Dama dama"
"95","Diceros bicornis"
"96","Enhydra lutris"
"97","Equus burchellii"
"98","Equus caballus"
"99","Equus grevyi"
"100","Equus zebra"
"101","Erignathus barbatus"
"102","Erythrocebus patas"
"103","Eulemur macaco"
"104","Eulemur rufus"
"105","Felis manul"
"106","Felis silvestris"
"107","Galago demidoff"
"108","Galictis cuja"
"109","Genetta genetta"
"110","Giraffa camelopardalis"
"111","Gorilla beringei"
"112","Gorilla gorilla"
"113","Halichoerus grypus"
"114","Herpestes ichneumon"
"115","Hippopotamus amphibius"
"116","Hippotragus equinus"
"117","Hippotragus niger"
"118","Hydrurga leptonyx"
"119","Hylobates lar"
"120","Hylobates moloch"
"121","Ictonyx libyca"
"122","Kobus ellipsiprymnus"
"123","Kobus kob"
"124","Lagothrix lagotricha"
"125","Lama glama"
"126","Leontopithecus chrysomelas"
"127","Leontopithecus chrysopygus"
"128","Leontopithecus rosalia"
"129","Leopardus geoffroyi"
"130","Leopardus pardalis"
"131","Lontra canadensis"
"132","Lophocebus albigena"
"133","Lophocebus aterrimus"
"134","Lutra lutra"
"135","Lycalopex gymnocercus"
"136","Lycaon pictus"
"137","Lynx canadensis"
"138","Lynx lynx"
"139","Lynx pardinus"
"140","Lynx rufus"
"141","Macaca assamensis"
"142","Macaca cyclopis"
"143","Macaca fascicularis"
"144","Macaca fuscata"
"145","Macaca mulatta"
"146","Macaca nemestrina"
"147","Macaca nigra"
"148","Macaca radiata"
"149","Macaca sinica"
"150","Mandrillus leucophaeus"
"151","Mandrillus sphinx"
"152","Martes foina"
"153","Martes martes"
"154","Martes melampus"
"155","Martes pennanti"
"156","Martes zibellina"
"157","Meles meles"
"158","Mephitis mephitis"
"159","Miopithecus talapoin"
"160","Mirounga angustirostris"
"161","Monachus schauinslandi"
"162","Muntiacus reevesi"
"163","Mustela altaica"
"164","Mustela nigripes"
"165","Mustela putorius"
"166","Nasua nasua"
"167","Neovison vison"
"168","Nyctereutes procyonoides"
"169","Nycticebus coucang"
"170","Odobenus rosmarus"
"171","Odocoileus hemionus"
"172","Odocoileus virginianus"
"173","Otolemur crassicaudatus"
"174","Ourebia ourebi"
"175","Ovibos moschatus"
"176","Ovis ammon"
"177","Ovis aries"
"178","Ovis canadensis"
"179","Ozotoceros bezoarticus"
"180","Pan troglodytes"
"181","Panthera leo"
"182","Panthera onca"
"183","Panthera pardus"
"184","Papio anubis"
"185","Papio cynocephalus"
"186","Papio hamadryas"
"187","Papio papio"
"188","Papio ursinus"
"189","Pecari tajacu"
"190","Perodicticus potto"
"191","Phacochoerus aethiopicus"
"192","Philantomba monticola"
"193","Phoca largha"
"194","Phoca vitulina"
"195","Piliocolobus badius"
"196","Piliocolobus rufomitratus"
"197","Piliocolobus tephrosceles"
"198","Pithecia irrorata"
"199","Pithecia pithecia"
"200","Pongo abelii"
"201","Pongo pygmaeus"
"202","Presbytis melalophos"
"203","Procapra gutturosa"
"204","Procyon cancrivorus"
"205","Procyon lotor"
"206","Procyon pygmaeus"
"207","Propithecus coquereli"
"208","Puma concolor"
"209","Pusa hispida"
"210","Rangifer tarandus"
"211","Redunca redunca"
"212","Rupicapra pyrenaica"
"213","Rupicapra rupicapra"
"214","Rusa unicolor"
"215","Saguinus bicolor"
"216","Saguinus fuscicollis"
"217","Saguinus geoffroyi"
"218","Saguinus labiatus"
"219","Saguinus leucopus"
"220","Saguinus midas"
"221","Saguinus niger"
"222","Saguinus nigricollis"
"223","Saguinus oedipus"
"224","Saimiri boliviensis"
"225","Saimiri oerstedii"
