"","hostname","normalised.degree","betweenness","weighted.betweenness","closeness","weighted.closeness","types","deg","bet","clos","eig"
"1","Acinonyx jubatus",0.00442477876106195,0,0,0.00401073282011267,0.00165195833498457,"TRUE",2,0,0,0.0473471605523288
"2","Aepyceros melampus",0.00442477876106195,0,0,0,NA,"TRUE",2,0,0,0
"3","Alcelaphus buselaphus",0.00884955752212389,0.00013646982279027,8.32654622923379e-06,0.00317525731407011,0.00176421824959814,"TRUE",4,20.0054359992457,0,0.00392589604377595
"4","Alces alces",0.0353982300884956,0.00579699875476708,0.000795544304385779,0.00533713463428805,0.00274349368936388,"TRUE",16,4576.92616572851,0,0.166648324095672
"5","Alouatta belzebul",0.0132743362831858,0.000149128379418317,1.18324604310164e-05,0.00414359819708439,0.00253841473691253,"TRUE",6,19.4662273025253,0,0.0554453172745945
"6","Alouatta caraya",0.0309734513274336,0.00741739255249383,0.00142754238242377,0.00492052285903772,0.00280501480244055,"TRUE",14,2239.32812260209,0,0.139079721383743
"7","Alouatta guariba",0.0265486725663717,0.000149128379418317,8.67713764941205e-05,0.00414359819708439,0.00287686843229904,"TRUE",12,149.413201357597,0,0.0671544285628666
"8","Alouatta palliata",0.0176991150442478,0.000715693817452974,0.000233112682116233,0.00447294669508634,0.00271912137852402,"TRUE",8,127.336470230672,0,0.0675469561039237
"9","Alouatta pigra",0.0221238938053097,0.0316825798991452,0.00167389320506642,0.00525268630146704,0.00270102635817511,"TRUE",10,3617.58357157841,0,0.180314081060635
"10","Alouatta seniculus",0.0619469026548673,0.105505980796026,0.199217402731477,0.00636177440584968,0.00334995825809843,"TRUE",28,22386.5943434768,0,0.347341285896207
"11","Ammotragus lervia",0.00442477876106195,0,0,0.00401073282011267,0.00165195833498457,"TRUE",2,0,0,0.0473471605523288
"12","Antidorcas marsupialis",0.00884955752212389,0,0,0,NA,"TRUE",4,2,0,0
"13","Antilocapra americana",0.00442477876106195,0,0,0.004999341303004,0.00214371982556626,"TRUE",2,0,0,0.0916420825849075
"14","Aotus azarae",0.00884955752212389,0.000331590507460799,4.93245604127e-05,0.00438849836226533,0.00231557532473331,"TRUE",4,20.6254665181298,0,0.0554727533301533
"15","Aotus trivirgatus",0.00442477876106195,0,0,0.00397470153144237,0.00168189830746591,"TRUE",2,0,0,0.0240590654316267
"16","Aotus vociferans",0.00884955752212389,0.00334113507117108,0,0.00442227769539374,0.0022086319844577,"TRUE",4,187.979490351566,0,0.0854410135392259
"17","Arctocebus calabarensis",0.00884955752212389,0.00348283543212967,7.49389160631041e-05,0.00367631742214145,0.00178592988369955,"TRUE",4,426.656922905984,0,0.00492408566241808
"18","Ateles belzebuth",0.00442477876106195,0,0,0.00425338102975171,0.00183713793833707,"TRUE",2,0,0,0.0314136878985267
"19","Ateles chamek",0.0132743362831858,0.000118715760007748,0,0.00411826369723809,0.00268652875152998,"TRUE",6,20.4858454297599,0,0.126613248945112
"20","Ateles fusciceps",0.0132743362831858,0.000900974177989275,0.000235121487067285,0.00452361569477895,0.00261805814200981,"TRUE",6,71.8406531021856,0,0.0784655938015759
"21","Ateles geoffroyi",0.0132743362831858,0.000900974177989275,0.000235121487067285,0.00452361569477895,0.00261805814200981,"TRUE",6,71.8406531021856,0,0.0784655938015758
"22","Ateles paniscus",0.0221238938053097,0.0144835044204034,0.00361986252925082,0.00491489297018298,0.00262916265176601,"TRUE",10,2945.89794816107,0,0.123411675736853
"23","Axis axis",0.0132743362831858,0.0089386118727368,0.00573282707882746,0.00370728181084249,0.0017025735597867,"TRUE",6,1795.03130281314,0,0.0103215702905696
