"","protname"
"1","Trypanosoma forestali"
"2","Leishmania mexicana"
"3","Trypanosoma advieri"
"4","Hammondia heydorni"
"5","Sarcocystis capricornis"
"6","Sarcocystis cornagliai"
"7","Babesia EU2"
"8","Entodinium rectangulatum"
"9","Entamoeba histolytica"
"10","Hepatocystis bovillezi"
"11","Sarcocystis silva"
"12","Trypanosoma sp. TSD1"
"13","Cystoisospora belli"
"14","Gorillophilus thoracatus"
"15","Plasmodium adleri"
"16","Plasmodium blacklocki"
"17","Plasmodium ovale"
"18","Plasmodium praefalciparum"
"19","Plasmodium rodhani"
"20","Cucurvella vivax"
"21","Sarcocystis hydrurgae"
"22","Isospora africana"
"23","Isospora hoogstraali"
"24","Isospora zorillae"
"25","Trypanosoma conorhini"
"26","Cyclospora cayetanensis"
"27","Pseudolimax butschlii"
"28","Isospora martessii"
"29","Isospora altaica"
"30","Eimeria procyonis"
