"","ID","protname","hostname","zscore","cscore","tm_close","tm_nonclose","tm_vector","tm_intermediate","parphylum","parclass","parorder","parfamily","hosttype","hostorder","hostfamily","hostenv","lat","long","location","numhosts","numsamples","prev"
"1",1,"Neospora caninum","Acinonyx jubatus",-1,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","carnivores","Carnivora","Felidae","terrestrial",-1.58,35.25,"Maasai Mara Game Reserve, Serengueti, Kenya",NA,5,0.6
"2",2,"Sarcocystis melampi","Aepyceros melampus",-1,3,0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Bovidae","terrestrial",-23.82,31.45,"Kruger National Park, South Africa",3,3,NA
"3",3,"Trypanosoma brucei","Alcelaphus buselaphus",-1,1,1,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","ungulates","Artiodactyla","Bovidae","terrestrial",11.23,1.53,"National Park of Pendjari, Benin",20,20,0.2
"4",4,"Trypanosoma brucei","Alcelaphus buselaphus",-1,1,1,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","ungulates","Artiodactyla","Bovidae","terrestrial",11.23,1.53,"National Park of Pendjari, Benin",22,NA,0.04
"5",5,"Trypanosoma vivax","Alcelaphus buselaphus",-1,1,0,0,1,0,"Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","ungulates","Artiodactyla","Bovidae","terrestrial",11.23,1.53,"National Park of Pendjari, Benin",20,20,0.1
"6",6,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",NA,NA,"Russian forests",NA,NA,NA
"7",7,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",58.67,8.08,"Aust-Agder, Norway",38,38,0.053
"8",8,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",61.45,11.41,"Hedmark, Norway",82,82,0.024
"9",9,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",66.92,14.74,"Nordland County, NORWAY",50,50,0.02
"10",10,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",63.12,10.39,"Sor-Trondelag, Noway",60,60,0.05
"11",11,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",59.52,8.53,"Telemark, Norway",47,47,0.043
"12",12,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",58.48,7.18,"Vest-Agder, Norway",35,35,0.027
"13",13,"Cryptosporidium parvum","Alces alces",0,1,1,1,0,0,"Apicomplexa","Coccidia","Eucoccidiorida","Cryptosporidiidae","ungulates","Artiodactyla","Cervidae","terrestrial",59.32,10.13,"Vestfold, Norway",49,49,0.061
"14",14,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",58.67,8.08,"Aust-Agder, Norway",38,38,0.079
"15",15,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",61.45,11.41,"Hedmark, Norway",82,82,0.122
"16",16,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",66.92,14.74,"Nordland County, NORWAY",50,50,0.1
"17",17,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",61.41,9.35,"Oppland, Norway",48,48,0.259
"18",18,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",63.12,10.39,"Sor-Trondelag, Noway",60,60,0.133
"19",19,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",59.52,8.53,"Telemark, Norway",47,47,0.085
"20",20,"Giardia intestinalis","Alces alces",0,1,1,1,0,0,"Sarcomastigophora","Zoomastigophora","Diplomonadida","Hexamitidae","ungulates","Artiodactyla","Cervidae","terrestrial",59.32,10.13,"Vestfold, Norway",49,49,0.204
"21",21,"Sarcocystis alces","Alces alces",-1,3,NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Southeastern Norway",34,34,NA
"22",22,"Sarcocystis alceslatrans","Alces alces",-1,3,0,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",56.13,-106.35,"Canada",2,2,NA
"23",23,"Sarcocystis ovalis","Alces alces",-1,2,NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",56.13,-106.35,"Canada",2,2,NA
"24",24,"Sarcocystis ovalis","Alces alces",-1,2,NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Southeastern Norway",34,34,NA
"25",25,"Sarcocystis scandinavica","Alces alces",-1,3,NA,NA,NA,NA,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",60.47,8.47,"Southeastern Norway",34,34,NA
"26",26,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",61.8,-150.37,"Suscetna River Area, Alaska",110,110,0.23
"27",27,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",45.58,-62.65,"Nova Scotia: Cumberland, Colchester, Pictou, Guysborough, and Antigonish counties",125,125,0.15
"28",28,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",64.45,14.05,"Eastern Norway, coast",278,278,0.14
"29",29,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",64.45,14.05,"Eastern Norway, inland",1374,1374,0.103
"30",30,"Toxoplasma gondii","Alces alces",3,1,1,1,0,1,"Apicomplexa","Coccidia","Eucoccidiorida","Sarcocystidae","ungulates","Artiodactyla","Cervidae","terrestrial",67.1,14.57,"Mid-Norway (Sor-Trondelag, Nord-Trondelag, Nordland)",348,348,0.187
