"","protname","prot_degree","prot_normalised.degree","prot_species.specificity.index","prot_betweenness","prot_weighted.betweenness","prot_closeness","prot_weighted.closeness","prot_proportional.generality","mean_host_degree","mean_host_normalised.degree","mean_host_species.specificity.index","mean_host_betweenness","mean_host_weighted.betweenness","mean_host_closeness","mean_host_weighted.closeness","mean_host_proportional.generality"
"1","Babesia bigemina",2,0.00447427293064877,0.706313615730871,2.29716229764138e-05,0,0.000538130720178538,0.000282120796267125,0.00921578005123228,52,0.026026026026026,0.194866542176966,0.00873730541913357,0.00347896364919585,0.00300088415251863,0.00142302781967036,0.0479243104231325
"2","Babesia bovis",1,0.00223713646532438,1,0,0,0.000530874617428785,0.000205879048138432,0.00460789002561614,92,0.046046046046046,0.10185409681368,0.014661145740568,0.00694997549363207,0.00315310936464579,0.0015339238793105,0.0847891645947729
"3","Babesia cellii",1,0.00223713646532438,1,0,0,0.00046960589983556,0.000201002927538023,0.00460789002561614,17,0.00850850850850851,0.241562071181929,0.0049441055546303,0.00224342799192105,0.00271334764072286,0.00125087643309274,0.0156675630229472
"4","Babesia cynicti",1,0.00223713646532438,1,0,0,0.000414341607267756,0.000198038565715403,0.00460789002561614,11,0.00550550550550551,0.300755486420614,0.000108999140425171,0,0.00235637506725506,0.000980107045798031,0.0101378348972011
"5","Babesia equi",2,0.00447427293064877,0.706313615730871,0.000737337653846805,7.41036957725812e-06,0.000522711501835313,0.000265102866634804,0.00921578005123228,52.5,0.0262762762762762,0.136605919720644,0.010521414691165,0.0030679697783904,0.00271913397919553,0.00133216165479608,0.0483851211002779
"6","Babesia lotori",1,0.00223713646532438,1,0,0,0.000557903600171614,0.000211337476646167,0.00460789002561614,163,0.0815815815815816,0.075081890568,0.0361607883231184,0.0466763360385458,0.00342195155214524,0.00153591793758762,0.150224280749435
"7","Babesia microti",1,0.00223713646532438,1,0,0,0.000504072387896886,0.000204731084151217,0.00460789002561614,48,0.024024024024024,0.142628939986886,0.0204180308779926,0.0060450766568442,0.00306141815500194,0.00136807266907493,0.0442378250059684
"8","Babesia missirolii",1,0.00223713646532438,1,0,0,0.000504208439823444,0.000203275123786918,0.00460789002561614,47,0.0235235235235235,0.144175236768601,0.00513289095000193,0.00011896374638878,0.00298931147557328,0.00146501979255743,0.0433162036516774
"9","Babesia odocoilei",1,0.00223713646532438,1,0,0,0.000530874617428785,0.000205879048138432,0.00460789002561614,92,0.046046046046046,0.10185409681368,0.014661145740568,0.00694997549363207,0.00315310936464579,0.0015339238793105,0.0847891645947729
"10","Babesia ovis",3,0.00671140939597315,0.57605430735515,9.49067502054268e-05,5.1540348248844e-06,0.000564615495215135,0.000315740831285584,0.0138236700768484,81.3333333333333,0.0407073740407074,0.131135277999114,0.00856622467607442,0.0516749548916478,0.00292165582573899,0.00150677965107893,0.0749585368156686
"11","Babesia pitheci",4,0.00894854586129754,0.498315548272602,3.19959110446827e-05,4.09073311760457e-07,0.000502603027090061,0.000287695096848728,0.0184315601024646,17.25,0.00863363363363363,0.304679858745908,0.00418035523300918,0.00229517429921595,0.00252471300651382,0.00117264962389097,0.0158979683615199
"12","Babesia propitheci",1,0.00223713646532438,1,0,0,0.000332737661718349,0.000130728989553877,0.00460789002561614,4,0.002002002002002,0.499624295501112,0.000194775041103473,5.93262920548249e-06,0.00174996679531923,0.000505412109019049,0.00368648541716404
