,parname,parcommsize,propparcommzoon,prophostzoon
1,Babesia bicornis,52,0.096153846,0.333333333
2,Babesia bigemina,71,0.154929577,1
3,Babesia bovis,65,0.123076923,1
4,Babesia cellii,15,0.466666667,1
5,Babesia cynicti,1,1,0
6,Babesia divergens,152,0.151315789,0.6
7,Babesia EU2,78,0.153846154,1
8,Babesia lotori,138,0.217391304,0.1
9,Babesia microti,36,0.277777778,1
10,Babesia missirolii,34,0.235294118,1
11,Babesia odocoilei,65,0.123076923,0.047619048
12,Babesia ovis,140,0.157142857,0.428571429
13,Babesia pitheci,39,0.384615385,0.6
14,Babesia propitheci,3,0,0
15,Babesia rossi,8,0.5,1
16,Balantidium aragaoi,17,0.117647059,1
17,Balantidium coli,200,0.255,0.25
18,Besnoitia tarandi,33,0.151515152,0.5
19,Blastocystis hominis,95,0.252631579,0.833333333
20,Blepharocorys jubata,25,0.16,1
21,Charonina hippopotami,8,0.125,0
22,Chilomastix mesnili,194,0.24742268,0.625
23,Cryptosporidium parvum,536,0.199626866,0.421052632
24,Cycloposthium bipalmatum,52,0.096153846,0.5
25,Cycloposthium corrugatum,52,0.096153846,1
26,Cycloposthium dentiferum,52,0.096153846,0.5
27,Cycloposthium edentatum,52,0.096153846,1
28,Cycloposthium scutigerum,110,0.063636364,0.5
29,Cyclospora cayetanensis,22,0.454545455,1
30,Cyclospora cercopitheci,19,0.473684211,1
31,Cyclospora colobi,15,0.4,1
32,Cyclospora papionis,42,0.357142857,1
33,Cystoisospora belli,8,0.625,1
34,Cystoisospora canis,137,0.291970803,1
35,Cystoisospora felis,192,0.276041667,0.444444444
36,Cystoisospora ohioensis,73,0.287671233,1
37,Cytauxzoon felis,80,0.2875,0.3
38,Cytauxzoon manul,1,0,0
39,Dientamoeba fragilis,62,0.338709677,0.666666667
40,Diplodinium anacanthum,52,0.096153846,0.5
41,Diplodinium dentatum,52,0.096153846,1
42,Diploplastron affine,52,0.096153846,0.5
43,Eimeria auburnensis,33,0.303030303,1
44,Eimeria bovis,33,0.303030303,0.5
45,Eimeria crispus,16,0.3125,1
46,Eimeria felina,29,0.413793103,1
