"","parname","meanGDP_per_cap"
"1","Babesia bicornis",0.00711365927689694
"2","Babesia bigemina",0.00739651842548151
"3","Babesia bovis",0.0140542654160522
"4","Babesia cellii",0.00430813132002091
"5","Babesia cynicti",0.0100096857470372
"6","Babesia divergens",0.0306519916639411
"7","Babesia EU2",0.029585798816568
"8","Babesia lotori",0.0480741974628392
"9","Babesia microti",0.00157706739408163
"10","Babesia missirolii",0.0317642221579776
"11","Babesia odocoilei",0.0480741974628392
"12","Babesia ovis",0.0336897982962056
"13","Babesia pitheci",0.00249763220813677
"14","Babesia propitheci",0.000974650563806058
"15","Babesia rossi",0.0100096857470372
"16","Balantidium aragaoi",0.010028214403868
"17","Balantidium coli",0.00516266687924813
"18","Besnoitia tarandi",0.03685521234602
"19","Blastocystis hominis",0.00584875303442602
"20","Blepharocorys jubata",0.00157706739408163
"21","Charonina hippopotami",0.00147520724554361
"22","Chilomastix mesnili",0.00441951971088884
"23","Cryptosporidium parvum",0.0456938095752739
"24","Cycloposthium bipalmatum",0.00157706739408163
"25","Cycloposthium corrugatum",0.00157706739408163
"26","Cycloposthium dentiferum",0.00157706739408163
"27","Cycloposthium edentatum",0.00157706739408163
"28","Cycloposthium scutigerum",0.00393033194379884
"29","Cyclospora cayetanensis",0.00108810663388996
"30","Cyclospora cercopitheci",0.000806806050184251
"31","Cyclospora colobi",0.000806806050184251
"32","Cyclospora papionis",0.000806806050184251
"33","Cystoisospora belli",0.00157706739408163
"34","Cystoisospora canis",0.0413474001596589
"35","Cystoisospora felis",0.0229698894117687
"36","Cystoisospora ohioensis",0.0480741974628392
"37","Cytauxzoon felis",0.044038119080931
"38","Cytauxzoon manul",0.0031159347376742
"39","Dientamoeba fragilis",0.00129668454047427
"40","Diplodinium anacanthum",0.00157706739408163
"41","Diplodinium dentatum",0.00157706739408163
"42","Diploplastron affine",0.00157706739408163
"43","Eimeria auburnensis",0.0480741974628392
"44","Eimeria bovis",0.0480741974628392
"45","Eimeria crispus",0.0340655099192525
"46","Eimeria felina",0.0346206028564786
"47","Eimeria furonis",0.0480741974628392
"48","Eimeria hreindyria",0.0346206028564786
"49","Eimeria ictidea",0.0480741974628392
"50","Eimeria kamoshika",0.0340655099192525
"51","Eimeria macusaniensis",NA
"52","Eimeria madisonensis",0.0480741974628392
"53","Eimeria mayeri",0.0414419584341396
"54","Eimeria mccordocki",0.0480741974628392
"55","Eimeria melis",0.0317642221579776
"56","Eimeria mephitidis",0.0480741974628392
"57","Eimeria nuttalli",0.0367342201139102
"58","Eimeria odocoilei",0.0480741974628392
"59","Eimeria pachylepyron",0.0149441089159945
"60","Eimeria rangiferis",0.0414419584341396
"61","Eimeria serowi",0.0340655099192525
"62","Eimeria vulpis",0.0346206028564786
"63","Eimeria zuernii",0.0480741974628392
