"","parname","ProportionalGenerality","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness"
"1","Babesia bicornis",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"2","Babesia bigemina",0.00921578005123228,0.000538130720178538,0,0.0479243104231325,0.00347896364919585
"3","Babesia bovis",0.00460789002561614,0.000530874617428785,0,0.0847891645947729,0.00694997549363207
"4","Babesia cellii",0.00460789002561614,0.00046960589983556,0,0.0156675630229472,0.00224342799192105
"5","Babesia cynicti",0.00460789002561614,0.000414341607267756,0,0.0101378348972011,0
"6","Babesia divergens",0.0138236700768484,0.000569241260718103,4.78863157449941e-06,0.0970774493186529,0.0536138055209762
"7","Babesia EU2",0.00460789002561614,0.000534049162381802,0,0.0893972713662279,0.00581748861891253
"8","Babesia lotori",0.00460789002561614,0.000557903600171614,0,0.150224280749435,0.0466763360385458
"9","Babesia microti",0.00460789002561614,0.000504072387896886,0,0.0442378250059684,0.0060450766568442
"10","Babesia missirolii",0.00460789002561614,0.000504208439823444,0,0.0433162036516774,0.00011896374638878
"11","Babesia odocoilei",0.00460789002561614,0.000530874617428785,0,0.0847891645947729,0.00694997549363207
"12","Babesia ovis",0.0138236700768484,0.000564615495215135,5.1540348248844e-06,0.0749585368156686,0.0516749548916478
"13","Babesia pitheci",0.0184315601024646,0.000502603027090061,4.09073311760457e-07,0.0158979683615199,0.00229517429921595
"14","Babesia propitheci",0.00460789002561614,0.000332737661718349,0,0.00368648541716404,5.93262920548249e-06
"15","Babesia rossi",0.00460789002561614,0.000457923574408458,0,0.00921621354291009,4.69406275732036e-05
"16","Balantidium aragaoi",0.00460789002561614,0.000439601914965333,0,0.0193540484401112,4.17708689570914e-05
"17","Balantidium coli",0.0829420204610905,0.000600805307679527,0.00255959367205303,0.0248325753795078,0.00810677176573162
"18","Besnoitia tarandi",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"19","Blastocystis hominis",0.0276473401536968,0.000547110147331357,2.96924658607522e-05,0.0254981908020513,0.0169184581805982
"20","Blepharocorys jubata",0.00460789002561614,0.000505206153951535,0,0.0313351260458943,3.40345570209259e-05
"21","Charonina hippopotami",0.00460789002561614,0.00044577867243106,0,0.00921621354291009,0
