"","parname","ProtType","Intracellular","HasDomesticHost","SexualReproduction","NumOrganSystems"
"1","Babesia bicornis","Sporozoan",1,1,0,1
"2","Babesia bigemina","Sporozoan",1,1,0,1
"3","Babesia bovis","Sporozoan",1,1,0,1
"4","Babesia cellii","Sporozoan",1,1,0,1
"5","Babesia cynicti","Sporozoan",1,1,0,1
"6","Babesia divergens","Sporozoan",1,1,0,1
"7","Theileria equi","Sporozoan",1,1,0,1
"8","Babesia lotori","Sporozoan",1,1,0,1
"9","Babesia microti","Sporozoan",1,1,0,1
"10","Babesia missirolii","Sporozoan",1,1,0,1
"11","Babesia odocoilei","Sporozoan",1,1,0,1
"12","Babesia ovis","Sporozoan",1,1,0,1
"13","Babesia pitheci","Sporozoan",1,1,0,1
"14","Babesia propitheci","Sporozoan",1,1,0,1
"15","Babesia rossi","Sporozoan",1,1,0,1
"16","Balantidium aragaoi","Ciliate",0,0,1,1
"17","Balantidium coli","Ciliate",0,1,1,1
"18","Besnoitia tarandi","Sporozoan",1,0,1,7
"19","Blastocystis hominis","Flagellate",0,1,0,1
"20","Blepharocorys jubata","Ciliate",NA,NA,NA,NA
"21","Charonina hippopotami","Ciliate",NA,0,NA,1
"22","Chilomastix mesnili","Flagellate",0,1,NA,1
"23","Cryptosporidium parvum","Sporozoan",1,1,1,1
"24","Cycloposthium bipalmatum","Ciliate",NA,1,0,NA
"25","Cycloposthium corrugatum","Ciliate",NA,1,0,NA
"26","Cycloposthium dentiferum","Ciliate",NA,1,0,NA
"27","Cycloposthium edentatum","Ciliate",NA,1,0,1
"28","Cycloposthium scutigerum","Ciliate",NA,1,0,NA
"29","Cyclospora cercopitheci","Sporozoan",1,0,1,1
"30","Cyclospora colobi","Sporozoan",1,0,1,1
"31","Cyclospora papionis","Sporozoan",1,0,1,1
"32","Cystoisospora felis","Sporozoan",1,1,1,1
"33","Cystoisospora ohioensis","Sporozoan",1,1,1,1
"34","Cytauxzoon felis","Sporozoan",1,1,1,1
"35","Cytauxzoon manul","Sporozoan",1,0,1,1
"36","Dientamoeba fragilis","Flagellate",0,1,0,1
"37","Diplodinium anacanthum","Ciliate",0,1,0,1
"38","Diplodinium dentatum","Ciliate",0,1,0,1
"39","Diploplastron affine","Ciliate",NA,1,NA,1
"40","Eimeria auburnensis","Sporozoan",1,1,1,1
"41","Eimeria bovis","Sporozoan",1,1,1,1
"42","Eimeria crispus","Sporozoan",1,0,1,1
"43","Eimeria felina","Sporozoan",1,1,1,1
"44","Eimeria furonis","Sporozoan",1,0,1,1
"45","Eimeria hreindyria","Sporozoan",1,0,1,1
"46","Eimeria ictidea","Sporozoan",1,0,1,1
"47","Eimeria kamoshika","Sporozoan",1,0,1,1
"48","Eimeria macusaniensis","Sporozoan",1,0,1,1
"49","Eimeria madisonensis","Sporozoan",1,NA,1,1
"50","Eimeria mayeri","Sporozoan",1,0,1,1
"51","Eimeria mccordocki","Sporozoan",1,NA,1,1
"52","Eimeria melis","Sporozoan",1,NA,1,1
"53","Eimeria mephitidis","Sporozoan",1,NA,1,1
"54","Eimeria nuttalli","Sporozoan",1,NA,1,1
"55","Eimeria odocoilei","Sporozoan",1,NA,1,1
"56","Eimeria pachylepyron","Sporozoan",1,NA,1,1
"57","Eimeria rangiferis","Sporozoan",1,0,1,1
"58","Eimeria serowi","Sporozoan",1,0,1,1
"59","Eimeria vulpis","Sporozoan",1,NA,1,1
"60","Eimeria zuernii","Sporozoan",1,1,1,1
"61","Elyplastron bubali","Ciliate",NA,NA,NA,1
"62","Endolimax nana","Amoeba",0,0,0,1
"63","Entamoeba chattoni","Amoeba",0,NA,NA,1
"64","Entamoeba coli","Amoeba",0,NA,NA,1
"65","Entamoeba dispar","Amoeba",0,NA,NA,1
"66","Entamoeba hartmanni","Amoeba",0,NA,NA,1
"67","Entamoeba histolytica","Amoeba",0,1,NA,1
"68","Entamoeba polecki","Amoeba",0,NA,NA,1
"69","Entodinium bicornutum","Ciliate",0,1,NA,1
"70","Entodinium bursa","Ciliate",0,1,NA,1
