"","protname","mean_ GDP_2015","mean_ HDI_2015"
"1","Babesia bicornis",5572.00081380208,0.510182499885559
"2","Babesia bigemina",11531.103515625,0.595402300357819
"3","Babesia bovis",20536.134765625,0.691804587841034
"4","Babesia cellii",3178.77734375,0.625999987125397
"5","Babesia cynicti",10500.4202880859,0.595121249556541
"6","Babesia divergens",30197.99453125,0.783646142482758
"7","Babesia equi",4265.82147216797,0.526636868715286
"8","Babesia lotori",37222.83984375,0.83347225189209
"9","Babesia microti",1197.97448730469,0.47299998998642
"10","Babesia missirolii",32470.982421875,0.801777303218842
"11","Babesia odocoilei",33944.9135974702,0.830024844124204
"12","Babesia ovis",33003.5725446429,0.77049936567034
"13","Babesia pitheci",2466.95244140625,0.437053668498993
"14","Babesia propitheci",1660.72631835938,0.433421552181244
"15","Babesia rossi",5942.58642578125,0.631206274032593
"16","Balantidium aragaoi",8164.35400390625,0.610901653766632
"17","Balantidium coli",6745.6356842041,0.500220141311487
"18","Besnoitia tarandi",13243.107421875,0.779166519641876
"19","Blastocystis hominis",4282.92372639974,0.498329152663549
"20","Blepharocorys jubata",1197.97448730469,0.47299998998642
"21","Charonina hippopotami",2318.33935546875,0.398000001907349
"22","Chilomastix mesnili",4106.16837565104,0.441540094092488
"23","Cryptosporidium parvum",32239.1618164062,0.807067825113024
"24","Cycloposthium bipalmatum",7179.43548583984,0.47299998998642
"25","Cycloposthium corrugatum",13160.896484375,0.47299998998642
"26","Cycloposthium dentiferum",7179.43548583984,0.47299998998642
"27","Cycloposthium edentatum",1197.97448730469,0.47299998998642
"28","Cycloposthium scutigerum",6447.83346557617,0.525499999523163
"29","Cyclospora cayetanensis",998.321350097656,0.377999991178513
"30","Cyclospora cercopitheci",652.352233886719,0.268987506628036
"31","Cyclospora colobi",652.352233886719,0.268987506628036
"32","Cyclospora papionis",652.352233886719,0.268987506628036
"33","Cystoisospora belli",3347.37353515625,0.47299998998642
"34","Cystoisospora canis",37499.9228515625,0.83992013335228
"35","Cystoisospora felis",18585.0555962457,0.679964585436715
"36","Cystoisospora ohioensis",45405.8515625,0.89008891582489
"37","Cytauxzoon felis",30859.175,0.813475251197815
"38","Cytauxzoon manul",3172.85815429688,0.578999996185303
"39","Dientamoeba fragilis",867.712307400174,0.345444430907567
"40","Diplodinium anacanthum",1197.97448730469,0.47299998998642
"41","Diplodinium dentatum",13160.896484375,0.47299998998642
"42","Diploplastron affine",7179.43548583984,0.47299998998642
"43","Eimeria auburnensis",34298.5625,0.832544088363647
"44","Eimeria bovis",34298.5625,0.832544088363647
"45","Eimeria crispus",22488.0703125,0.80435973405838
"46","Eimeria felina",29593.994140625,0.789751350879669
"47","Eimeria furonis",34298.5625,0.832544088363647
