protname,dom_hostname,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts
Babesia bicornis,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia bigemina,"cattle, sheep, goats, horses; cattle, ox, water buffalo",1,1,1,0,1,0,1,0,5
Babesia bovis,cattle,1,0,0,0,1,0,0,0,2
Babesia cellii,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia cynicti,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia divergens,cattle,1,0,0,0,1,0,0,0,2
Babesia equi,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia lotori,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia microti,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia missirolii,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia odocoilei,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia ovis,"sheep, goats",0,1,1,0,0,0,0,0,2
Babesia pitheci,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia propitheci,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Babesia rossi,"cattle, sheep, goats, horses, dogs, rodents",1,1,1,1,1,0,1,0,6
Balantidium aragaoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balantidium coli,pigs,0,0,0,0,0,1,0,0,1
Besnoitia tarandi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blastocystis hominis,"pigs, chickens",0,0,0,0,0,1,0,1,2
Blepharocorys jubata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charonina hippopotami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chilomastix mesnili,pigs,0,0,0,0,0,1,0,0,1
Cryptosporidium parvum,cattle,1,0,0,0,1,0,0,0,2
Cycloposthium bipalmatum,horses,0,0,0,0,0,0,1,0,1
Cycloposthium corrugatum,horses,0,0,0,0,0,0,1,0,1
Cycloposthium dentiferum,horses,0,0,0,0,0,0,1,0,1
Cycloposthium edentatum,horses,0,0,0,0,0,0,1,0,1
Cycloposthium scutigerum,horses,0,0,0,0,0,0,1,0,1
Cyclospora cercopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclospora colobi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclospora papionis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystoisospora felis,cat,0,0,0,0,1,0,0,0,1
Cystoisospora ohioensis,dog,0,0,0,1,0,0,0,0,1
Cytauxzoon felis,cat,0,0,0,0,1,0,0,0,1
Cytauxzoon manul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dientamoeba fragilis,pigs,0,0,0,0,0,1,0,0,1
Diplodinium anacanthum,"cattle, sheep, goats, water buffalo, zebu",1,1,1,0,1,0,0,0,4
Diplodinium dentatum,cattle,1,0,0,0,1,0,0,0,2
Diploplastron affine,"cattle, sheep",1,1,0,0,1,0,0,0,3
Eimeria auburnensis,cattle,1,0,0,0,1,0,0,0,2
Eimeria bovis,cattle,1,0,0,0,1,0,0,0,2
Eimeria crispus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria felina,cats,0,0,0,0,1,0,0,0,1
Eimeria furonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria hreindyria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria ictidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria kamoshika,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria macusaniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria madisonensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria mayeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria mccordocki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria melis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria mephitidis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria nuttalli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria odocoilei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria pachylepyron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria rangiferis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria serowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria vulpis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria zuernii,cattle,1,0,0,0,1,0,0,0,2
Elyplastron bubali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endolimax nana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entamoeba chattoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entamoeba coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entamoeba dispar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entamoeba hartmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entamoeba histolytica,dog,0,0,0,1,0,0,0,0,1
Entamoeba polecki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entodinium bicornutum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entodinium bursa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entodinium caudatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entodinium dubardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entodinium furca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entodinium minimum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entopolypoides macaci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium bulbiferum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium caudatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium gigas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eudiplodinium maggi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giardia intestinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis cercopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis foleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis kochi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis semnopitheci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis simiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
