"","ParasiteBinomialName","PropCommunityZoonotic","PropHostsZoonoticCarriers","EcoRealm","NumEcoregions","ZoonoticStatus","WebOfScienceHits","Phylum","Order","CloseContactTransmission","VectorTransmission","HostDietBreadth","HostDietInvertebrate","HostHabitatBreadth","HostGeographicRange","HostInterbirthInterval","HostTrophicLevel","MeanHumanPopDensity","MeanTemp","MeanPrecipitation","HostIslandEndemicity","HostPopDensity","HostEvolutionaryDistinctiveness","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness","Intracellular","HasDomesticHost","NumOrganSystems","NumTransmissionModes"
"1","Babesia bicornis",0.096153846,0.333333333,"AT",3,0,9,"Apicomplexa","Achromatorida",NA,NA,2,0,1,6697308.45,1049.37,1,30.49,225.9,70.41,1,0.11,3.51324406371774,0.000516453113213652,0,0.0645134948003707,0.00122805424553488,1,1,1,NA
"2","Babesia bigemina",0.154929577,1,"AT",2,0,797,"Apicomplexa","Achromatorida",0,1,4.5,0,1,8712202.1395,334.58,1,31.125,174.55,80.64,1,9.31,2.32449738745514,0.000538130720178538,0,0.0479243104231325,0.00347896364919585,1,1,1,1
"3","Babesia bovis",0.123076923,1,NA,1,0,1253,"Apicomplexa","Achromatorida",0,1,4,0,1,14410477.61,304.16,1,34.11,127.64,80.45,1,17.32,NA,0.000530874617428785,0,0.0847891645947729,0.00694997549363207,1,1,1,1
"4","Babesia cellii",0.466666667,1,"IM",1,0,0,"Apicomplexa","Achromatorida",0,1,2,10,NA,46446.4766,547.5,1,335.39,258.11,141.67,2,30,2.2116833498539,0.00046960589983556,0,0.0156675630229472,0.00224342799192105,1,1,1,1
"5","Babesia cynicti",1,0,"AT",1,0,1,"Apicomplexa","Achromatorida",0,1,1,90,1,2252272.009,365,3,15.27,184.21,33.29,1,NA,3.11456004051963,0.000414341607267756,0,0.0101378348972011,0,1,1,1,1
"6","Babesia divergens",0.151315789,0.6,"PA",2,0,414,"Apicomplexa","Achromatorida",NA,NA,4,0,1,7599424.22506667,365,1,89.29,57.1166666666667,53.3966666666667,1,5.255,2.53690628907681,0.000569241260718103,4.78863157449941e-06,0.0970774493186529,0.0536138055209762,1,1,1,NA
"7","Babesia EU2",0.153846154,1,"PA",1,1,NA,"Apicomplexa","Achromatorida",NA,NA,5,0,1,7256885.952,365,1,101.77,73.59,55.04,1,7.61,2.8107399782047,0.000534049162381802,0,0.0893972713662279,0.00581748861891253,NA,NA,NA,NA
"8","Babesia lotori",0.217391304,0.1,"NT",2,0,3,"Apicomplexa","Achromatorida",0,1,6,19,2,11684182.92,365,2,38.77,111.84,63.25,1,3.29,2.37333404780104,0.000557903600171614,0,0.150224280749435,0.0466763360385458,1,1,1,1
"9","Babesia microti",0.277777778,1,"AT",1,0,189,"Apicomplexa","Achromatorida",0,1,2,10,NA,4289611.805,669.16,1,24.54,230.4,86.42,1,5.86,2.26473516247121,0.000504072387896886,0,0.0442378250059684,0.0060450766568442,1,1,1,1
"10","Babesia missirolii",0.235294118,1,"PA",1,0,1,"Apicomplexa","Achromatorida",0,1,1,20,1,9763858.967,365,3,NA,NA,NA,1,2.52,3.28760578632801,0.000504208439823444,0,0.0433162036516774,0.00011896374638878,1,1,1,1
