"","protname"
"1","Neospora caninum"
"2","Sarcocystis melampi"
"3","Trypanosoma brucei"
"4","Trypanosoma vivax"
"5","Cryptosporidium parvum"
"6","Giardia intestinalis"
"7","Sarcocystis alces"
"8","Sarcocystis alceslatrans"
"9","Sarcocystis ovalis"
"10","Sarcocystis scandinavica"
"11","Toxoplasma gondii"
"12","Trypanosoma cervi"
"13","Plasmodium brasilianum"
"14","Trypanosoma minasense"
"15","Trypanosoma mycetae"
"16","Balantidium aragaoi"
"17","Retortamonas intestinalis"
"18","Trypanosoma cruzi"
"19","Trypanosoma forestali"
"20","Plasmodium simium"
"21","Trypanosoma hippicum"
"22","Trypanosoma venezuelense"
"23","Leishmania mexicana"
"24","Entamoeba coli"
"25","Blastocystis hominis"
"26","Chilomastix mesnili"
"27","Iodamoeba butschlii"
"28","Plasmodium falciparum"
"29","Plasmodium vivax"
"30","Trypanosoma lambrechti"
"31","Sarcocystis gazellae"
"32","Sarcocystis woodhousei"
"33","Trypanosoma congolense"
"34","Balantidium coli"
"35","Trypanosoma advieri"
"36","Trypanosoma lesourdi"
"37","Sarcocystis axicuonis"
"38","Theileria cervi"
"39","Trypanosoma evansi"
"40","Eimeria auburnensis"
"41","Eimeria bovis"
"42","Eimeria zuernii"
"43","Entamoeba hartmanni"
"44","Trypanosoma devei"
"45","Trypanosoma rangeli"
"46","Isospora endocallimici"
"47","Sarcocystis elegans"
"48","Trypanosoma simiae"
"49","Leishmania infantum"
"50","Isospora canis"
"51","Cystoisospora felis"
"52","Cystoisospora ohioensis"
"53","Hammondia heydorni"
"54","Hepatozoon americanum"
"55","Sarcocystis fusiformis"
"56","Sarcocystis neurona"
"57","Sarcocystis arieticanis"
"58","Sarcocystis capracanis"
"59","Sarcocystis capricornis"
"60","Sarcocystis cornagliai"
"61","Babesia ovis"
"62","Babesia divergens"
"63","Babesia EU2"
"64","Eimeria crispus"
"65","Eimeria kamoshika"
"66","Eimeria serowi"
"67","Endolimax nana"
"68","Isospora cebi"
"69","Leishmania shawi"
"70","Trypanosoma diasi"
"71","Blepharocorys jubata"
"72","Entodinium bicornutum"
"73","Entodinium caudatum"
"74","Entodinium dubardi"
"75","Entodinium furca"
"76","Entodinium minimum"
"77","Entodinium rectangulatum"
"78","Epidinium bulbiferum"
"79","Epidinium gigas"
"80","Eudiplodinium maggi"
"81","Metadinium medium"
"82","Hepatocystis kochi"
"83","Plasmodium georgesi"
"84","Plasmodium gonderi"
"85","Plasmodium petersi"
"86","Entamoeba histolytica"
"87","Pentatrichomonas hominis"
"88","Entamoeba chattoni"
"89","Babesia pitheci"
"90","Dientamoeba fragilis"
"91","Hepatocystis cercopitheci"
"92","Trypanosoma primatum"
"93","Hepatocystis bovillezi"
"94","Trichomonas intestinalis"
"95","Hepatozoon canis"
"96","Leishmania chagasi"
"97","Sarcocystis capreolicanis"
"98","Sarcocystis grueneri"
"99","Sarcocystis silva"
"100","Trypanosoma sp. TSD1"
