"","ID","protname","long","lat","ECO_NAME","REALM","BIOME"
"1",50,"Neospora caninum",35.25,-1.58,"Southern Acacia-Commiphora bushlands and thickets","AT",7
"2",533,"Sarcocystis melampi",31.45,-23.82,"Zambezian and Mopane woodlands","AT",7
"3",627,"Trypanosoma brucei",1.53,11.23,"West Sudanian savanna","AT",7
"4",628,"Trypanosoma brucei",1.53,11.23,"West Sudanian savanna","AT",7
"5",629,"Trypanosoma vivax",1.53,11.23,"West Sudanian savanna","AT",7
"6",645,"Cryptosporidium parvum",8.08,58.67,"Scandinavian Montane Birch forest and grasslands","PA",11
"7",646,"Cryptosporidium parvum",11.41,61.45,"Scandinavian and Russian taiga","PA",6
"8",647,"Cryptosporidium parvum",14.74,66.92,"Scandinavian Montane Birch forest and grasslands","PA",11
"9",648,"Cryptosporidium parvum",10.39,63.12,"Scandinavian and Russian taiga","PA",6
"10",649,"Cryptosporidium parvum",8.53,59.52,"Scandinavian and Russian taiga","PA",6
"11",650,"Cryptosporidium parvum",7.18,58.48,"Sarmatic mixed forests","PA",4
"12",651,"Cryptosporidium parvum",10.13,59.32,"Scandinavian and Russian taiga","PA",6
"13",722,"Giardia intestinalis",8.08,58.67,"Scandinavian Montane Birch forest and grasslands","PA",11
"14",723,"Giardia intestinalis",11.41,61.45,"Scandinavian and Russian taiga","PA",6
"15",724,"Giardia intestinalis",14.74,66.92,"Scandinavian Montane Birch forest and grasslands","PA",11
"16",725,"Giardia intestinalis",9.35,61.41,"Scandinavian Montane Birch forest and grasslands","PA",11
"17",726,"Giardia intestinalis",10.39,63.12,"Scandinavian and Russian taiga","PA",6
"18",727,"Giardia intestinalis",8.53,59.52,"Scandinavian and Russian taiga","PA",6
"19",728,"Giardia intestinalis",10.13,59.32,"Scandinavian and Russian taiga","PA",6
"20",814,"Sarcocystis alces",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"21",815,"Sarcocystis alceslatrans",-106.35,56.13,"Midwestern Canadian Shield forests","NA",6
"22",816,"Sarcocystis ovalis",-106.35,56.13,"Midwestern Canadian Shield forests","NA",6
"23",817,"Sarcocystis ovalis",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"24",818,"Sarcocystis scandinavica",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"25",824,"Toxoplasma gondii",-150.37,61.8,"Cook Inlet taiga","NA",6
"26",825,"Toxoplasma gondii",-62.65,45.58,"Gulf of St. Lawrence lowland forests","NA",4
"27",826,"Toxoplasma gondii",14.05,64.45,"Scandinavian and Russian taiga","PA",6
"28",827,"Toxoplasma gondii",14.05,64.45,"Scandinavian and Russian taiga","PA",6
"29",828,"Toxoplasma gondii",14.57,67.1,"Scandinavian Montane Birch forest and grasslands","PA",11
"30",829,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"31",830,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"32",831,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"33",832,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"34",833,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"35",834,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"36",835,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"37",839,"Trypanosoma cervi",151.06,60.49,"Northeast Siberian taiga","PA",6
"38",840,"Trypanosoma cervi",151.06,60.49,"Northeast Siberian taiga","PA",6
"39",841,"Trypanosoma cervi",151.06,60.49,"Northeast Siberian taiga","PA",6
"40",861,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"41",862,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"42",863,"Trypanosoma mycetae",-55,-10,"Madeira-Tapajós moist forests","NT",1
"43",864,"Trypanosoma mycetae",-55,-10,"Madeira-Tapajós moist forests","NT",1
"44",865,"Trypanosoma mycetae",-54.93062,-1.998127,"Uatuma-Trombetas moist forests","NT",1
"45",868,"Balantidium aragaoi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"46",883,"Giardia intestinalis",-55,-10,"Madeira-Tapajós moist forests","NT",1
"47",894,"Plasmodium brasilianum",-55,-10,"Madeira-Tapajós moist forests","NT",1
"48",896,"Retortamonas intestinalis",-55,-10,"Madeira-Tapajós moist forests","NT",1
"49",897,"Trypanosoma cruzi",-64,-34,"Humid Pampas","NT",8
"50",898,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"51",899,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"52",902,"Trypanosoma minasense",-64,-34,"Humid Pampas","NT",8
"53",903,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"54",904,"Trypanosoma mycetae",-64,-34,"Humid Pampas","NT",8
"55",905,"Trypanosoma mycetae",-55,-10,"Madeira-Tapajós moist forests","NT",1
"56",920,"Plasmodium brasilianum",-40.75,-20,"Bahia coastal forests","NT",1
"57",921,"Plasmodium brasilianum",-51.2176986,-30.0346316,"Uruguayan savanna","NT",7
"58",922,"Plasmodium brasilianum",-50,-27,"Serra do Mar coastal forests","NT",1
"59",923,"Plasmodium brasilianum",-49,-22,"Cerrado","NT",7
"60",924,"Plasmodium brasilianum",-49,-22,"Cerrado","NT",7
"61",926,"Plasmodium simium",-40.75,-20,"Bahia coastal forests","NT",1
"62",927,"Plasmodium simium",-51.2176986,-30.0346316,"Uruguayan savanna","NT",7
"63",928,"Plasmodium simium",-51.2176986,-30.0346316,"Uruguayan savanna","NT",7
"64",929,"Plasmodium simium",-50,-27,"Serra do Mar coastal forests","NT",1
"65",930,"Plasmodium simium",-50,-27,"Serra do Mar coastal forests","NT",1
"66",931,"Plasmodium simium",-49,-22,"Cerrado","NT",7
"67",932,"Plasmodium simium",-49,-22,"Cerrado","NT",7
"68",933,"Plasmodium simium",-49,-22,"Cerrado","NT",7
"69",937,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"70",938,"Trypanosoma mycetae",-55,-10,"Madeira-Tapajós moist forests","NT",1
"71",981,"Plasmodium brasilianum",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"72",982,"Plasmodium brasilianum",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"73",983,"Plasmodium brasilianum",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"74",989,"Trypanosoma cruzi",-92.20568,18.25404,"Pantanos de Centla","NT",1
"75",990,"Trypanosoma mycetae",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"76",1024,"Entamoeba coli",-90.94,16.13,"Petén-Veracruz moist forests","NT",1
"77",1027,"Giardia intestinalis",-88.53498,17.55577,"Petén-Veracruz moist forests","NT",1
"78",1036,"Trypanosoma cruzi",-92.66097,17.68724,"Pantanos de Centla","NT",1
"79",1037,"Trypanosoma cruzi",-92.20568,18.25404,"Pantanos de Centla","NT",1
"80",1038,"Trypanosoma cruzi",-99.18466,19.21345,"Trans-Mexican Volcanic Belt pine-oak forests","NT",3
"81",1039,"Trypanosoma minasense",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"82",1040,"Trypanosoma mycetae",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"83",1059,"Blastocystis hominis",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"84",1062,"Chilomastix mesnili",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"85",1068,"Iodamoeba butschlii",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"86",1074,"Plasmodium brasilianum",-65.86,-3.42,"Juruá-Purus moist forests","NT",1
"87",1075,"Plasmodium brasilianum",-59.46,-1.91,"Uatuma-Trombetas moist forests","NT",1
"88",1076,"Plasmodium brasilianum",-55,-10,"Madeira-Tapajós moist forests","NT",1
"89",1077,"Plasmodium brasilianum",-53.08,4.91,"Guianan moist forests","NT",1
"90",1078,"Plasmodium brasilianum",-61,1,"Rio Negro campinarana","NT",1
"91",1079,"Plasmodium brasilianum",-52.95,5.38,"Amazon-Orinoco-Southern Caribbean mangroves","NT",14
"92",1082,"Plasmodium falciparum",-52.95,5.38,"Amazon-Orinoco-Southern Caribbean mangroves","NT",14
"93",1083,"Plasmodium simium",-61,1,"Rio Negro campinarana","NT",1
"94",1084,"Plasmodium vivax",-52.95,5.38,"Amazon-Orinoco-Southern Caribbean mangroves","NT",14
"95",1085,"Plasmodium vivax",-52.95,5.38,"Amazon-Orinoco-Southern Caribbean mangroves","NT",14
"96",1086,"Plasmodium vivax",-52.95,5.38,"Amazon-Orinoco-Southern Caribbean mangroves","NT",14
"97",1090,"Toxoplasma gondii",-53.125782,3.933889,"Guianan moist forests","NT",1
"98",1091,"Toxoplasma gondii",-53.08,4.91,"Guianan moist forests","NT",1
"99",1094,"Trypanosoma cruzi",-66,8,"Llanos","NT",7
"100",1095,"Trypanosoma cruzi",-66,8,"Llanos","NT",7
"101",1097,"Trypanosoma lambrechti",-55,-10,"Madeira-Tapajós moist forests","NT",1
"102",1098,"Trypanosoma lambrechti",-55,-10,"Madeira-Tapajós moist forests","NT",1
"103",1099,"Trypanosoma lambrechti",-55,-10,"Madeira-Tapajós moist forests","NT",1
"104",1100,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"105",1101,"Trypanosoma minasense",-53.125782,3.933889,"Guianan moist forests","NT",1
"106",1102,"Trypanosoma mycetae",-53.125782,3.933889,"Guianan moist forests","NT",1
"107",1103,"Trypanosoma mycetae",-53.125782,3.933889,"Guianan moist forests","NT",1
"108",1111,"Neospora caninum",-3.75,40.46,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"109",1212,"Sarcocystis gazellae",17.07,-22.56,"Kalahari xeric savanna","AT",13
