protname,type,intra_extra,dom_host,flagella,cyst,sexual,cattle,sheep,goat,dog,cat,pig,horse,chicken,numdomhosts,muscular,skeletal,circulatory,respiratory,digestive,immune,urinary,nervous,endocrine,reproductive,lymphatic,integumentary,ocular,multi,numsys
Babesia bicornis,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia bigemina,Sporozoan,1,1,0,NA,0,1,1,1,0,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia bovis,Sporozoan,1,1,0,NA,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia cellii,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia cynicti,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia divergens,Sporozoan,1,1,0,NA,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia equi,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia lotori,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia microti,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia missirolii,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia odocoilei,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia ovis,Sporozoan,1,1,0,NA,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia pitheci,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia propitheci,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia rossi,Sporozoan,1,1,0,NA,0,1,1,1,1,1,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Balantidium aragaoi,Ciliate,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Balantidium coli,Ciliate,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Besnoitia tarandi,Sporozoan,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,1,0,0,1,1,1,1,7
Blastocystis hominis,Flagellate,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Blepharocorys jubata,Ciliate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charonina hippopotami,Ciliate,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chilomastix mesnili,Flagellate,0,1,1,1,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
