"","protname","normalised.degree","betweenness","weighted.betweenness","closeness","weighted.closeness","types","deg","bet","clos","eig"
"1","Babesia bicornis",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"2","Babesia bigemina",0.00816326530612245,0,0,0.00509496181598728,0.00235452840492929,"FALSE",4,10.5055093055093,0,0.0254687230355335
"3","Babesia bovis",0.00408163265306122,0,0,0.00509496181598728,0.00174487956585268,"FALSE",2,0,0,0.0168570463816955
"4","Babesia cellii",0.00408163265306122,0,0,0.00452154360422487,0.00171140637296421,"FALSE",2,0,0,0.0233734258534375
"5","Babesia cynicti",0.00408163265306122,0,0,0,NA,"FALSE",2,0,0,3.14413664521792e-17
"6","Babesia divergens",0.0122448979591837,0,0,0.00515136360730817,0.00265279183986522,"FALSE",6,11.6212561582162,0,0.0533713804320649
"7","Babesia equi",0.00816326530612245,0,0,0.00472835017240148,0.00170022892932483,"FALSE",4,842,0,0.0450958038765394
"8","Babesia lotori",0.00408163265306122,0,0,0.00512316271164772,0.00175331641746379,"FALSE",2,0,0,0.0193862336053916
"9","Babesia microti",0.00408163265306122,0,0,0.00472835017240148,0.00170022892932483,"FALSE",2,0,0,0.0447170985365266
"10","Babesia missirolii",0.00408163265306122,0,0,0.00494455703913156,0.0017323338233805,"FALSE",2,0,0,0.0132946385954543
"11","Babesia odocoilei",0.00408163265306122,0,0,0.00509496181598728,0.00174487956585268,"FALSE",2,0,0,0.0168570463816955
"12","Babesia ovis",0.0122448979591837,0,0,0.00515136360730817,0.00233586956991456,"FALSE",6,847.237842531322,0,0.034383190797296
"13","Babesia pitheci",0.0163265306122449,0.000985846435916146,8.56650650155011e-06,0.00515136360730817,0.00257160021251009,"FALSE",8,265.782708209359,0,0.110193409497318
"14","Babesia propitheci",0.00408163265306122,0,0,0,NA,"FALSE",2,0,0,2.8494872754649e-17
"15","Babesia rossi",0.00408163265306122,0,0,0,NA,"FALSE",2,0,0,2.4141593263117e-17
"16","Balantidium aragaoi",0.00408163265306122,0,0,0.00443694091724353,0.00173290221438299,"FALSE",2,0,0,0.0127489558561409
"17","Balantidium coli",0.073469387755102,0.0710509416739447,0.0272916594375179,0.00689981913825583,0.00324062811443636,"FALSE",36,13881.9221191812,0,0.479588417744204
"18","Besnoitia tarandi",0.00408163265306122,0,0,0.00514196330875469,0.00178593612533166,"FALSE",2,0,0,0.0130455682579739
"19","Blastocystis hominis",0.0244897959183673,0.0132260043289698,0.000526411824520254,0.00632640092649343,0.0026715462684682,"FALSE",12,3305.74863270751,0,0.143375441731562
"20","Blepharocorys jubata",0.00408163265306122,0,0,0.0051325630102012,0.00175493524784386,"FALSE",2,0,0,0.0103062093316267
"21","Charonina hippopotami",0.00408163265306122,0,0,0.000225607165283569,NA,"FALSE",2,0,0,2.66773669774067e-17
