Binomial,equalSplits,fairProp
Acinonyx_jubatus,33.56875,18.7745658447
Addax_nasomaculatus,10.5389892578,10.8715413196
Aepyceros_melampus,26.623828125,22.5293984624
Ailuropoda_melanoleuca,47.24375,39.3510264948
Alcelaphus_buselaphus,10.6139892578,10.6632079862
Alcelaphus_lichtensteinii,10.6139892578,10.6632079862
Alces_alces,11.4934570313,11.4722137449
Alces_americanus,11.4934570313,11.4722137449
Allenopithecus_nigroviridis,20.1921875,15.2289626417
Alouatta_belzebul,9.94921875,7.81567571
Alouatta_caraya,16.4984375,9.11567571
Alouatta_guariba,16.4984375,9.11567571
Alouatta_nigerrima,9.94921875,7.81567571
Alouatta_palliata,16.4984375,9.11567571
Alouatta_pigra,16.4984375,9.11567571
Alouatta_seniculus,16.4984375,9.11567571
Ammotragus_lervia,17.1529785156,16.0797037127
Antidorcas_marsupialis,14.1809570313,12.2061841767
Antilocapra_americana,33.1453125,24.1444481771
Antilope_cervicapra,10.6904785156,9.8728508434
Aotus_azarae,33.59375,21.5220944787
Aotus_nancymaae,33.59375,21.5220944787
Aotus_nigriceps,33.59375,21.5220944787
Aotus_trivirgatus,33.59375,21.5220944787
Aotus_vociferans,33.59375,21.5220944787
Arctictis_binturong,17.33046875,17.8440742932
Arctocebus_calabarensis,32.53125,32.2750329164
Arctocephalus_australis,6.2436523438,6.287327404
Arctocephalus_forsteri,6.2436523438,6.287327404
Arctocephalus_galapagoensis,6.2436523438,6.287327404
Arctocephalus_gazella,9.9873046875,7.937327404
Arctocephalus_philippii,6.2436523438,6.287327404
Arctocephalus_pusillus,15.274609375,11.5206607373
Arctocephalus_tropicalis,9.9873046875,7.937327404
Ateles_belzebuth,11.224609375,11.6121042815
Ateles_fusciceps,9.4623046875,11.5621042815
Ateles_geoffroyi,9.4623046875,11.5621042815
Ateles_paniscus,14.64921875,11.6787709481
Atilax_paludinosus,37.99375,28.1885187377
Avahi_laniger,20.44765625,21.9232474745
Avahi_occidentalis,20.44765625,21.9232474745
Axis_axis,12.0434570313,11.5105470782
Axis_porcinus,12.0434570313,11.5105470782
Bassariscus_astutus,25.92421875,20.5064507563
Bison_bison,6.3358642578,9.2050306463
Bison_bonasus,6.3358642578,9.2050306463
Blastocerus_dichotomus,10.1934570313,7.1555470782
Bos_frontalis,14.0434570313,10.4383639797
Bos_grunniens,8.9717285156,9.3050306463
Boselaphus_tragocamelus,23.5869140625,21.9108639797
Brachyteles_arachnoides,17.24921875,16.2537709481
Bunopithecus_hoolock,11.81484375,12.9633359001
Cacajao_calvus,12.73671875,10.7883863327
Callicebus_brunneus,11.21171875,10.5967196661
Callicebus_cupreus,15.46171875,14.8467196661
Callicebus_moloch,11.21171875,10.5967196661
Callicebus_personatus,33.59375,21.5220944787
Callicebus_torquatus,15.46171875,14.8467196661
Callimico_goeldii,16.41171875,14.9328087644
Callithrix_argentata,7.9029296875,9.5828087644
Callithrix_jacchus,11.105859375,10.1328087644
Callithrix_pygmaea,7.9029296875,9.5828087644
Callorhinus_ursinus,21.54921875,11.6920893088
Camelus_dromedarius,49.3625,44.0259999093
Canis_adustus,2.785546875,3.9522022119
Canis_aureus,2.785546875,3.9522022119
Canis_latrans,4.22109375,3.9855355452
Canis_lupus,4.22109375,3.9855355452
Canis_mesomelas,4.27109375,4.0522022119
Canis_simensis,4.22109375,3.9855355452
Capra_hircus,10.5816223145,9.5963703794
Capra_ibex,10.5816223145,9.5963703794
Capra_nubiana,10.5816223145,9.5963703794
Capra_pyrenaica,10.5816223145,9.5963703794
Capra_sibirica,10.5816223145,9.5963703794
Capreolus_capreolus,18.2869140625,16.6222137449
Capricornis_crispus,9.3264892578,7.5393190973
Capricornis_sumatraensis,9.3264892578,7.5393190973
Capricornis_swinhoei,9.3264892578,7.5393190973
Caracal_caracal,10.8427734375,11.2791680991
Catopuma_temminckii,10.0213867188,11.1867171187
Cebus_albifrons,6.337109375,8.4209040025
Cebus_apella,16.6484375,11.5042373358
Cebus_capucinus,6.337109375,8.4209040025
Cebus_olivaceus,9.87421875,8.5709040025
Cephalophus_dorsalis,7.1264892578,8.8977317957
Cephalophus_natalensis,6.2764892578,8.0477317957
Cephalophus_nigrifrons,6.2764892578,8.0477317957
Cephalophus_silvicultor,7.1264892578,8.8977317957
Ceratotherium_simum,30.071875,33.5569522903
Cercocebus_galeritus,12.448046875,10.1144075889
Cercocebus_torquatus,12.448046875,10.1144075889
Cercopithecus_ascanius,9.9560058594,10.4527883993
Cercopithecus_campbelli,6.5310058594,7.364455066
Cercopithecus_cephus,9.9560058594,10.4527883993
Cercopithecus_denti,5.6310058594,6.464455066
Cercopithecus_diana,13.0240234375,12.039455066
Cercopithecus_lhoesti,4.2560058594,6.2318793084
Cercopithecus_mitis,10.8060058594,11.619455066
Cercopithecus_mona,6.5310058594,7.364455066
Cercopithecus_neglectus,13.0240234375,12.039455066
Cercopithecus_nictitans,10.8060058594,11.619455066
Cercopithecus_petaurista,9.9560058594,10.4527883993
Cercopithecus_pogonias,5.6310058594,6.464455066
Cercopithecus_preussi,4.2560058594,6.2318793084
Cerdocyon_thous,12.484375,5.6188688786
Cervus_elaphus,11.8217285156,11.1172137449
Cervus_nippon,11.8217285156,11.1172137449
Cheirogaleus_major,33.75625,30.9978590033
Cheirogaleus_medius,33.75625,30.9978590033
Chiropotes_albinasus,9.718359375,10.6883863327
Chiropotes_satanas,9.718359375,10.6883863327
