binomial,Order,Family,ActivityCycle,AdultBodyMass_wEXT,Brain_weight_comb_e1_pref,BW_Mass_comb_e1_pref,AdultHeadBodyLen,DietBreadth,GestationLen,HabitatBreadth,HomeRange,InterbirthInterval,LitterSize,LittersPerYear_wEXT,MaxLongevity,NeonateBodyMass_wEXT,PopulationDensity,SexualMaturityAge,Terrestriality,TrophicLevel,WeaningAge,GR_Area_Combined_IUCN_preferred
Acinonyx_jubatus,Carnivora,Felidae,3,50577.92,111.05,58.56,1480.43,1,92.24,1,88.27,547.5,3.28,0.89,228,441.66,0.01,741.97,1,3,91.42,2809301.207
Addax_nasomaculatus,Artiodactyla,Bovidae,1,96077.36,NA,NA,NA,5,262.74,1,NA,360,1,1.1,308.04,5633.76,NA,821.25,1,1,NA,34478.1676
Aepyceros_melampus,Artiodactyla,Bovidae,3,52591.69,162.7,59,1420,2,196.74,1,1.97,365,1,1.1,213,5238.4,13.36,498.97,1,1,150,3485542.674
Ailuropoda_melanoleuca,Carnivora,Ursidae,2,117999.99,235.1,117.92,1345.98,3,134.99,1,3.55,638.75,1.62,0.82,360,104.39,0.18,2413.02,1,1,178.98,16284.7048
Alcelaphus_buselaphus,Artiodactyla,Bovidae,3,160937.86,267.5,158.4,1974.99,2,242.66,1,2.73,345.5,1,1.13,240,12500,3.65,827.69,1,1,188.73,6856205.773
Alcelaphus_lichtensteinii,Artiodactyla,Bovidae,NA,168695.66,357,139.9,NA,3,237,1,4.41,365,1,1.1,240,15000,1.71,596.29,1,1,NA,2264335.8
Alces_alces,Artiodactyla,Cervidae,2,461900.76,NA,NA,2930.47,1,235,1,71.75,365,1.25,1.7,324,12999.99,0.4,668.2,1,1,98.85,7963741.77
Alces_americanus,Artiodactyla,Cervidae,NA,541460.44,NA,NA,2097.16,2,245,NA,NA,NA,1,NA,300,13499.99,NA,631.37,NA,1,182.5,15112560.77
Allenopithecus_nigroviridis,Primates,Cercopithecidae,3,4749.96,47.4996,6.119652,459.99,NA,NA,NA,NA,NA,1.01,NA,276,240.71,NA,NA,NA,NA,106.15,506340.0089
Alouatta_belzebul,Primates,Atelidae,3,6157.91,NA,NA,550.38,NA,NA,1,NA,NA,NA,NA,NA,-999,17,NA,2,NA,NA,1341970.554
Alouatta_caraya,Primates,Atelidae,3,5576.96,56.7,6.2,558.16,3,185.92,NA,NA,337.62,1.01,1.14,243.6,260.6,80,1276.72,NA,1,323.16,3064124.147
Alouatta_guariba,Primates,Atelidae,3,5188.33,NA,NA,514.53,4,NA,1,0.03,NA,NA,NA,NA,-999,89.09,NA,2,1,NA,1076694.635
Alouatta_nigerrima,Primates,Atelidae,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,236115.9423
