ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As of 2.8.2017.,SearchStringWOS,WOShits .As of 2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao note,GMPDtraits,GMPDtax,ParasiteCorrectedName updated,Match,disease,disease note
Acanthocephalus anguillae,NA,0,,-1,3,-1,1,,VR,42765,,,,0,Acanthocephalus anguillae,1410,Acanthocephalus anguillae,57,,Kennedy and Moriarty 1987,,VR,42765,,,,0,0,1,No,,,,Acanthocephalus anguillae,Acanthocephalus anguillae,,
Acanthocephalus ranae,NA,0,,-1,3,-1,2,,VR,42765,,,,0,Acanthocephalus ranae,431,Acanthocephalus ranae,23,,"Heckmann et al., 2011",,VR,42765,,,,0,0,1,No,,,,Acanthocephalus ranae,Acanthocephalus ranae,,
Acanthocheilonema dracunculoides,NA,0,,-1,1,-1,2,,VR,42765,,,,,Acanthocheilonema dracunculoides,217,Acanthocheilonema dracunculoides,13,H: dog,"Casiraghi et al., 2006",,VR,42765,,,,0,0,1,No,,,,Acanthocheilonema dracunculoides,Acanthocheilonema dracunculoides,,
Acanthocheilonema gracile,NA,0,,-1,2,-1,2,,VR,42765,,,,,Acanthocheilonema gracile,65,Acanthocheilonema gracile,0,H: primate,"Bain et al., 2008",,VR,42765,,,,1,0,0,Yes,"Acanthocheilonema=Dipetalonema (Strohschneider, H. ""Oral and intraperitoneal treatment of Acanthocheilonema (Dipetalonema) perstans with diethylcarbamazine."" The American journal of tropical medicine and hygiene 5.1 (1956): 158-162.)",Dipetalonema gracile,,Dipetalonema gracile,Dipetalonema gracile,,
Acanthocheilonema perstans,NA,0,,0,1,0,2,,VR,42765,,,,,Acanthocheilonema perstans,713,Acanthocheilonema perstans,4,,"Adolph et al., 1962",,VR,42765,,,,1,0,0,Yes,"Mansonella perstans was known at various times as Acanthocheilonema perstans, Tetrapetalonema perstans and Dipetalonema perstans (Simonsen, Paul E., Ambrose W. Onapa, and Santa Maria Asio. ""Mansonella perstans filariasis in Africa."" Acta tropica 120 (2011): S109-S120.).",Mansonella perstans,,Mansonella perstans,Mansonella perstans,,
Acanthocheilonema procyonis,NA,0,,-1,1,-1,3,,VR,42765,,,,,Acanthocheilonema procyonis,52,Acanthocheilonema procyonis,2,H: Raccoons,"Rabinowitz et al., 1985",,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema procyonis,Acanthocheilonema procyonis,,
Acanthocheilonema reconditum,NA,0,,2,1,-1,2,,VR,42765,,,,,Acanthocheilonema reconditum,404,Acanthocheilonema reconditum,39,H: Fox to Dog,"Brianti et al., 2012",NEED,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema reconditum,Acanthocheilonema reconditum,,
Acanthocheilonema spirocauda,NA,0,,-1,1,-1,3,,VR,42765,,,,,Acanthocheilonema spirocauda,82,Acanthocheilonema spirocauda,9,H: Seals,"Papadopoulos et al., 2010",,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema spirocauda,Acanthocheilonema spirocauda,,
Acinetobacter antiviralis,NA,0,,,,-1,3,,VR,42765,,,,,Acinetobacter antiviralis,64,Acinetobacter antiviralis,1,Bacterium,"Lee et al., 2009",,VR,42765,,,,0,0,1,No,,,,Acinetobacter antiviralis,Acinetobacter antiviralis,,
Acinetobacter baumannii,NA,0,,3,1,3,1,,VR,42765,,,,,Acinetobacter baumannii,65700,Acinetobacter baumannii,7371,contaminated meat,"Peleg et al., 2008",,VR,42765,,,,0,0,1,No,,,,Acinetobacter baumannii,Acinetobacter baumannii,,
Acinetobacter calcoaceticus,NA,0,,3,1,3,1,,VR,42765,,,,,Acinetobacter calcoaceticus,22700,Acinetobacter calcoaceticus,2464,,"Getchell-White et al., 1989",NEED,VR,42765,,,,0,0,1,No,,,,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus,,
Acinetobacter lwoffii,NA,0,,0,2,0,1,,VR,42765,,,,,Acinetobacter lwoffii,5460,Acinetobacter lwoffii,248,,"Wang et al., 2012",,VR,42765,,,,0,0,1,No,,,,Acinetobacter lwoffii,Acinetobacter lwoffii,,
Actinobacillus actinomycetemcomitans,NA,0,,0,2,0,1,,VR,42765,,,,,Actinobacillus actinomycetemcomitans,18500,Actinobacillus actinomycetemcomitans,4585,Bacteria,"Slots et al., 1980",,VR,42765,,,,0,0,1,No,,,,Actinobacillus actinomycetemcomitans,Actinobacillus actinomycetemcomitans,,
Actinobacillus equuli,NA,0,,2,1,1,1,,VR,42765,,,,,Actinobacillus equuli,1300,Actinobacillus equuli,100,"H: horses ""sleepy foal disease""","Ashhurst-Smith et al., 1998",,VR,42765,,,,0,0,1,No,,,,Actinobacillus equuli,Actinobacillus equuli,,
Aelurostrongylus abstrusus,NA,0,,-1,2,-1,1,,VR,42765,,,,,Aelurostrongylus abstrusus,1110,Aelurostrongylus abstrusus,162,H: Cat,"Taubert et al., 2009",,Vr,42765,,,,1,0,1,No,,,,Aelurostrongylus abstrusus,Aelurostrongylus abstrusus,,
