ParasiteCorrectedName,have_zooscore,have_trait,Note,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax
Babesia bicornis,1,NA,NA,NA,0,,-1,2,-1,2,,VR,42741,,,,,Babesia bicornis,308,Babesia bicornis,9,Rhino only,"Nijhof et al., 2003",,VR,42741,,,,0,0,1,No,,,Babesia bicornis
Babesia divergens,1,NA,NA,NA,0,,0,1,0,1,,VR,42741,,,,,Babesia divergens,4460,Babesia divergens,414,Tick/rare,"Zintl et al., 2003",Gideon,VR,42741,,,,0,0,1,No,can't find it in GMPD files.,,
Babesia EU2,NA,NA,"Babesiosis (Synonym: Babesia)  is on gideon. Babesia EU""1"" is on GIDEON and GMPD taxonomy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blepharocorys jubata,1,NA,NA,NA,0,,-1,3,-1,3,,VR,42739,,,,,Blepharocorys jubata,22,Blepharocorys jubata,0,Horse,"Ito et al., 2014",,VR,42739,,,,0,0,1,No,,,
Charonina hippopotami,1,NA,NA,NA,0,,,,-1,3,,VR,42733,,,,,Charonina hippopotami,37,Charonina hippopotami,0,,"Gilchrist et al., 1994",,VR,42733,,,,NA,0,1,No,,,
Cucurvella vivax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycloposthium bipalmatum,1,NA,NA,NA,0,,-1,3,-1,3,,VR,42725,,,,,Cycloposthium bipalmatum,68,Cycloposthium bipalmatum,2,equid,Anette and Van Hoven 1980,,VR,42725,,,,NA,0,1,No,,,
Cycloposthium corrugatum,1,NA,NA,NA,0,,,,-1,3,,VR,42725,,,,,Cycloposthium corrugatum,9,Cycloposthium corrugatum,0,,Gurelli and Gocmen 2011,,VR,42725,,,,NA,0,1,No,,,
Cycloposthium dentiferum,1,NA,NA,NA,0,,,,-1,3,,VR,42725,,,,,Cycloposthium dentiferum,15,Cycloposthium dentiferum,1,,Gurelli and Gocmen 2011,,VR,42725,,,,NA,0,1,No,,,
Cycloposthium edentatum,1,NA,NA,NA,0,,-1,3,-1,3,,VR,42725,,,,,Cycloposthium edentatum,57,Cycloposthium edentatum,5,,Gurelli and Gocmen 2011,,VR,42725,,,,NA,0,1,No,,,
