ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,ParasiteCorrectedName.updated,ParasiteReportedName,XC_ZooScore,Type,ParPhylum,ParClass,ParOrder,ParFamily,intra_extra,spec_confd_int,ref_int,site_raw,site_system,spec_confd_site,ref_site,geo_dist,spec_confd_geo,ref_geo,dom_host,spec_confd_dom_host,ref_dom_host,dom_hostname,spec_confd_dom_hostname,ref_dom_hostname,flagella,spec_confd_flag,ref_flag,cyst,spec_confd_cyst,ref_cyst,sexual,spec_confd_sex,ref_sex,transmission,spec_confd_trans,ref_trans,other_host,spec_confd_other,ref_other,note
Babesia bicornis,Babesia bicornis,Babesia bicornia,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia bigemina,Babesia bigemina,Babesia bigemina,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 323","worldwide; Central America, South America, Europe, Middle East, North Africa, Central Africa, South Africa, Australia, North America","genus, species","Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 323",yes,species,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 323","cattle, sheep, goats, horses; cattle, ox, water buffalo",species,Levine 1985 pg. 323,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,"ox, zebu, water buffalo, African baffalo, and certain deer",species,Levine 1985 pg. 296,needs two hosts to complete transmission
Babesia bovis,Babesia bovis,Babesia bovis,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,species,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",cattle,species,Levine pg. 325,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,"roe deer, red deer",species,Levine 1985 pg. 323,needs two hosts to complete transmission
Babesia cellii,Babesia cellii,Babesia cellii,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia cynicti,Babesia cynicti,Babesia cynicti,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia divergens,Babesia divergens,Babesia divergens,0,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317","Westerm Europe, Central Europe",species,Levine 1985 pg. 326,yes,species,Levine 1985 pg. 326,cattle,species,Levine 1985 pg. 326,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia equi,Babesia equi,Babesia equi,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia lotori,Babesia lotori,Babesia lotori,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
Babesia microti,Babesia microti,Babesia microti,0,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,Ixodes scapularis tick,species,Hersh et al.,"white-footed mice, raccoons, short-talied shrews, eastern chipmunks, meadow voles, other rodents, foxes",species,Hersh et al.,needs two hosts to complete transmission
Babesia missirolii,Babesia missirolii,Babesia missirolii,-1,Sporozoan,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,1,species,Aikawa & Sterling 1974 pg. 54,red blood cells,circulatory,species,"Aikawa & Sterling 1974 pg. 54, Levine 1985 pg. 317",worldwide,genus,"Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317",yes,genus,"Aikawa & Sterling 1974 pg. 54, Gutteridge & Coombs 1977 pg. 5, Levine 1985 pg. 317","cattle, sheep, goats, horses, dogs, rodents",genus,Aikawa & Sterling 1974 pg. 54,no,species,Levine 1985 pg. 317,NF,NA,NA,no,class,Levine 1985 pg. 317,ticks,species,,NF,NA,NA,needs two hosts to complete transmission
