Spp,Label,Order,Zoonosis,Parasite
Acinonyx jubatus,1,Carnivora,Anthrax,Bacillus anthracis
Acinonyx jubatus,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Ailuropoda melanoleuca,1,Carnivora,Cryptosporidiosis,Cryptosporidium sp.
Ailuropoda melanoleuca,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Ailurus fulgens,1,Carnivora,Cryptosporidiosis,Cryptosporidium sp.
Aonyx capensis,0,Carnivora,,
Aonyx cinerea,0,Carnivora,,
Arctictis binturong,1,Carnivora,Influenza,Influenza
Arctocephalus australis,1,Carnivora,Anisakiasis,Contracaecum osculatum
Arctocephalus forsteri,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Arctocephalus galapagoensis,0,Carnivora,,
Arctocephalus gazella,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Arctocephalus philippii,0,Carnivora,,
Arctocephalus pusillus,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Arctocephalus townsendi,0,Carnivora,,
Arctocephalus tropicalis,0,Carnivora,,
Arctogalidia trivirgata,0,Carnivora,,
Arctonyx collaris,0,Carnivora,,
Atelocynus microtis,0,Carnivora,,
Atilax paludinosus,1,Carnivora,Paragonimiasis,Paragonimus sp.
Atilax paludinosus,1,Carnivora,Rabies,Lyssavirus Rabies lyssavirus
Bassaricyon alleni,0,Carnivora,,
Bassaricyon beddardi,0,Carnivora,,
Bassaricyon gabbii,0,Carnivora,,
Bassaricyon lasius,0,Carnivora,,
Bassaricyon pauli,0,Carnivora,,
Bassariscus astutus,1,Carnivora,Baylisascariasis,Baylisascaris sp.
Bassariscus astutus,1,Carnivora,Trypanosomiasis - American,Trypanosoma sp.
Bassariscus sumichrasti,0,Carnivora,,
Bdeogale crassicauda,0,Carnivora,,
Bdeogale jacksoni,0,Carnivora,,
Bdeogale nigripes,0,Carnivora,,
Canis aureus,1,Carnivora,Anaplasmosis,Anaplasma sp.
Canis aureus,1,Carnivora,Brucellosis,Brucella sp.
Canis aureus,1,Carnivora,Dipylidiasis,Dipylidium sp.
Canis aureus,1,Carnivora,Dirofilariasis,Dirofilaria immitis
Canis aureus,1,Carnivora,Echinococcosis - multilocular,Echinococcus multilocularis
Canis aureus,1,Carnivora,Echinococcosis - unilocular,Echinococcus granulosus
Canis aureus,1,Carnivora,Ehrlichiosis - human monocytic,Ehrlichia sp.
Canis aureus,1,Carnivora,Giardiasis,Giardia sp.
Canis aureus,1,Carnivora,Leishmaniasis - cutaneous,Leishmania sp.
Canis aureus,1,Carnivora,Leishmaniasis - visceral,Leishmania sp.
Canis aureus,1,Carnivora,Moniliformis and Macracanthorhynchus,Macracanthorhynchus hirudinaceus
Canis aureus,1,Carnivora,Rabies,Lyssavirus Rabies lyssavirus
Canis aureus,1,Carnivora,Toxocariasis,Toxocara sp.
Canis aureus,1,Carnivora,Trichinosis,Trichinella sp.
